:Patrick_Moore [http]   :Brian_May [http]
:Otto_Rank [http]       :Carl_Rogers [http]
:Arcesilaus [http]      :Carneades [http]
:Alfred_North_Whitehead [http]  :Gilles_Deleuze [http]
:A._Merritt [http]      :H._P._Lovecraft [http]
:Clark_Ashton_Smith [http]      :H._P._Lovecraft [http]
:Robert_W._Chambers [http]      :H._P._Lovecraft [http]
:Hishikawa_Moronobu [http]      :Hiroshige [http]
:Aldous_Huxley [http]   :Isaiah_Berlin [http]
:Alexander_Pushkin [http]       :Ivan_Bunin [http]
:David_Hartley_(philosopher) [http]     :James_Mill [http]
:Jack_Smith_(film_director) [http]      :John_Cale [http]
:H._L._A._Hart [http]   :John_Rawls [http]
:David_Bohm [http]      :John_Stewart_Bell [http]
:H._L._A._Hart [http]   :Joseph_Raz [http]
:John_Argyropoulos [http]       :Leonardo_da_Vinci [http]
:Émile_Durkheim [http]  :Marcel_Mauss [http]
:Alfred_North_Whitehead [http]  :Maurice_Merleau-Ponty [http]
:Werner_Sombart [http]  :Max_Weber [http]
:Alexis_de_Tocqueville [http]   :Max_Weber [http]
:Han_Ryner [http]       :Michel_Onfray [http]
:Aristippus [http]      :Michel_Onfray [http]
:Chevy_Chase [http]     :Mike_Myers [http]
:Kazi_Nazrul_Islam [http]       :Orhan_Pamuk [http]
:Reşat_Ekrem_Koçu [http]        :Orhan_Pamuk [http]
:Alice_Pike_Barney [http]       :Oscar_Wilde [http]
:James_Braid_(surgeon) [http]   :Paul_Broca [http]
:Alexander_Pushkin [http]       :Prosper_Mérimée [http]
:W._D._Hamilton [http]  :Richard_Dawkins [http]
:Friedrich_Heinrich_Jacobi [http]       :Søren_Kierkegaard [http]
:Ted_Hughes [http]      :Seamus_Heaney [http]
:Srečko_Kosovel [http]  :Susanna_Tamaro [http]
:Émile_Durkheim [http]  :Talcott_Parsons [http]
:Alfred_North_Whitehead [http]  :Talcott_Parsons [http]
:Alexander_Pushkin [http]       :Taras_Shevchenko [http]
:Paul_Otlet [http]      :Ted_Nelson [http]
:Vannevar_Bush [http]   :Ted_Nelson [http]
:Paul_Otlet [http]      :Tim_Berners-Lee [http]
:Ken_Kesey [http]       :Tom_Wolfe [http]
:Lucy_Maud_Montgomery [http]    :Tracy_Chevalier [http]
:Andrei_Voznesensky [http]      :W._H._Auden [http]
:Kyōka_Izumi [http]     :Yukio_Mishima [http]
:James_Braid_(surgeon) [http]   :Étienne_Eugène_Azam [http]
:Jacques_Rivière [http] :Alain-Fournier [http]
:Alfred_North_Whitehead [http]  :B._F._Skinner [http]
:Tudor_Arghezi [http]   :Benjamin_Fondane [http]
:Abbie_Hoffman [http]   :Boots_Riley [http]
:Richard_Hofstadter [http]      :C._Vann_Woodward [http]
:Hunter_S._Thompson [http]      :Caleb_Schaber [http]
:Bernard_Cornwell [http]        :Conn_Iggulden [http]
:Aldous_Huxley [http]   :Cyril_Connolly [http]
:Clark_Ashton_Smith [http]      :David_A._Hargrave [http]
:Phillip_Blond [http]   :David_Cameron [http]
:Richard_Hofstadter [http]      :David_W._Noble [http]
:Clark_Ashton_Smith [http]      :Emil_Petaja [http]
:Richard_Hofstadter [http]      :Eric_Foner [http]
:Christian_von_Ehrenfels [http] :Felix_Weltsch [http]
:William_Stanley_Jevons [http]  :Frank_Fetter [http]
:Vannevar_Bush [http]   :Frederick_Terman [http]
:Alfred_North_Whitehead [http]  :George_Herbert_Mead [http]
:William_Styron [http]  :George_Plimpton [http]
:Aldous_Huxley [http]   :Gerald_Heard [http]
:Robert_B._Parker [http]        :Harlan_Coben [http]
:Theodore_Sturgeon [http]       :Harlan_Ellison [http]
:Alexander_Pushkin [http]       :Henry_James [http]
:Hubert_Selby,_Jr. [http]       :Henry_Rollins [http]
:A._Merritt [http]      :Jack_Williamson [http]
:Donald_Barthelme [http]        :Jacob_M._Appel [http]
:Alice_Pike_Barney [http]       :James_Abbott_McNeill_Whistler [http]
:Robert_W._Chambers [http]      :James_Blish [http]
:Clark_Ashton_Smith [http]      :James_Lowder [http]
:Diana_Gabaldon [http]  :Jeaniene_Frost [http]
:Laurell_K._Hamilton [http]     :Jeaniene_Frost [http]
:Jack_Vance [http]      :Jeff_VanderMeer [http]
:Ken_Kesey [http]       :Jerry_Garcia [http]
:Paul_Otlet [http]      :Jesse_Shera [http]
:Hans_Jonas [http]      :John_Crowley [http]
:Alexander_Pushkin [http]       :Joseph_Brodsky [http]
:Alan_Moore [http]      :Joss_Whedon [http]
:Georg_Henrik_von_Wright [http] :Karl-Otto_Apel [http]
:Robert_W._Chambers [http]      :Karl_Edward_Wagner [http]
:Alexei_Savrasov [http] :Konstantin_Korovin [http]
:William_Stanley_Jevons [http]  :Lionel_Robbins,_Baron_Robbins [http]
:Robert_W._Chambers [http]      :Marion_Zimmer_Bradley [http]
:Sándor_Ferenczi [http] :Michael_Balint [http]
:Jack_Vance [http]      :Michael_Chabon [http]
:Philippa_Foot [http]   :Michael_Slote [http]
:Alan_Watts [http]      :Monica_Furlong [http]
:Sidney_Hook [http]     :Morris_Janowitz [http]
:Robert_W._Chambers [http]      :Paul_Edwin_Zimmer [http]
:Alfred_North_Whitehead [http]  :Paul_Weiss_(philosopher) [http]
:Abbie_Hoffman [http]   :Penn_Jillette [http]
:Robert_B._Parker [http]        :Peter_David [http]
:Émile_Durkheim [http]  :Randall_Collins [http]
:R._A._Lafferty [http]  :Ray_Vukcevich [http]
:Paul_Otlet [http]      :Robert_M._Hayes [http]
:Robert_W._Chambers [http]      :Robert_Shea [http]
:Brian_O'Nolan [http]   :Spike_Milligan [http]
:Abbie_Hoffman [http]   :Steve_Conliff [http]
:Liviu_Rebreanu [http]  :Steven_Brust [http]
:Alexandre_Dumas [http] :Steven_Brust [http]
:Christoph_von_Sigwart [http]   :William_James [http]
