"Catharine MacKinnon","Martha Nussbaum"
"Paul Auster","Michael Chabon"
"Oakley Hall","Michael Chabon"
"Russell Kirk","Michael Novak"
"Wendell Berry","Michael Pollan"
"Pauline Kael","Michael Sragow"
"Franz Oppenheimer","Murray Rothbard"
"Benjamin Tucker","Murray Rothbard"
"Paul Merton","Neil Mullarkey"
"Beryl McBurnie","Pearl Primus"
"Murray Rothbard","Peter Boettke"
"Murray Rothbard","Peter Leeson"
"Peter Boettke","Peter Leeson"
"Marquis de Sade","Pierre Klossowski"
"Lloyd Alexander","Piers Anthony"
"Edward Bunker","Raegan Butcher"
"Murray Rothbard","Ralph Raico"
"William James","Richard Davidson"
"Stanley G. Weinbaum","Richard Matheson"
"Murray Rothbard","Robert Higgs"
"James Baldwin","Robert Jensen"
"Murray Rothbard","Robert P. Murphy"
"Hedwig Gorski","Russell Simmons"
"Wendell Berry","Scott Sanders"
"John D. MacDonald","Spider Robinson"
"Murray Rothbard","Stephan Kinsella"
"Murray Rothbard","Steven Horwitz"
"Lloyd Alexander","Terry Brooks"
"Murray Rothbard","Thomas DiLorenzo"
"Murray Rothbard","Thomas Woods"
"Benjamin Tucker","Voltairine de Cleyre"
"Dave Meltzer","Wade Keller"
"Richard Popkin","Luciano Floridi"
"Susan Haack","Luciano Floridi"
"William James","Bill W."
"Mirza Alakbar Sabir","Jalil Mammadguluzadeh"
"Alexandru Robot","Emilian Galaicu-Păun"
"Shaikh Ayaz","Sindhi poetry"
"Namiki Gohei I","Namiki Gohei II"
"Frank Skinner","Al Murray"
"Robert S. Barton","Alan Ashton"
"George Mills","Anthony Buckeridge"
"Christopher Pike","Aprilynne Pike"
"Robert S. Barton","Bui Tuong Phong"
"Brad Linaweaver","Dafydd ab Hugh"
"Wendell Berry","Derek Webb"
"Derek Mahon","Eavan Boland"
"John Montague","Eavan Boland"
"Pauline Kael","Elvis Mitchell"
"Paul Merton","Jimmy Carr"
"Federico Cantú Garza","Julio Castellanos"
"M. Stanton Evans","Maggie Gallagher"
"Naoko Takeuchi","Miwa Ueda"
"William James","Morris Raphael Cohen"
"Napoleon Hill","Og Mandino"
"Roger Ebert","Richard Corliss"
"Murray Rothbard","Robert LeFevre"
"Lenny Bruce","Sam Kinison"
"Frank Skinner","Sean Lock"
"Paul Merton","Sean Lock"
"Renzo Novatore","Severino Di Giovanni"
"Pauline Kael","Stephen Hunter"
"Lenny Bruce","Stewart Lee"
"Pauline Kael","Tom Shales"
"Jacqueline Woodson","An Na"
"Robert S. Barton","Edwin Catmull"
"Muhsin al-Hakim","Grand Ayatollah Muhammad Hussain Najafi"
"Rudolf Otto","Joachim Wach"
"José María Ramos Mejía","José Ingenieros"
"Murray Rothbard","Edward Stringham"
"Peter Boettke","Edward Stringham"
"Kees Bol","Els Coppens-van de Rijt"
"Roger Ebert","Will Leitch"
"John D. Caputo","Richard Kearney"
"John Zachary Young","Semir Zeki"
"Milton Avery","Adolph Gottlieb"
"Aleš Debeljak","Aleš Šteger"
"Alojz Gradnik","Aleš Šteger"
"Niko Grafenauer","Aleš Debeljak"
"Edwin Thumboo","Alfian Sa'at"
"France Prešeren","Alojz Gradnik"
"Boris Pahor","Alojz Rebula"
"France Balantič","Alojz Rebula"
"Edward Everett Dale","Angie Debo"
"Humayun Ahmed","Anisul Hoque"
"Namdeo Dhasal","Baburao Bagul"
"Daagh","Bekhud Badayuni"
"France Bevk","Boris Pahor"
"Lenny Bruce","Cardis Cardell Willis"
"Francesco Albani","Carlo Cignani"
"Eric Rücker Eddison","Christian Cameron"
"Howard Hendricks","Chuck Swindoll"
"Mohammad Ibrahim Zauq","Daagh"
"Paul Merton","Daniel Kitson"
"Anton Vodnik","Danilo Lokar"
"William Goldman","Dean Koontz"
"John D. MacDonald","Dean Koontz"
"John Zerzan","Derrick Jensen"
"France Prešeren","Dominik Smole"
"Lawrence Durrell","Dylan Thomas"
"Abdulla Qahhor","Erkin Vohidov"
"Greg Hall","F. A. Nettelbeck"
"Wahbi al-Hariri","Fateh Moudarres"
"Edwin Thumboo","Felix Cheong"
"Edward Bunker","Ferréz"
"Alojz Gradnik","France Balantič"
"Anton Vodnik","France Balantič"
"France Prešeren","France Balantič"
"Anton Vodnik","France Bevk"
"Danilo Lokar","France Bevk"
"Frank C. Matthews","Ghostface Killah"
"Arthur Mee","Grayson Perry"
"Armando Iannucci","Iain Morris"
"Humayun Ahmed","Imdadul Haq Milon"
"Laurence Sterne","Italo Calvino"
"Richard Wright","James Baldwin"
"Edward Bunker","James Ellroy"
"Jane Mander","Jane Campion"
"Jeff VanderMeer","Jesse Bullington"
"Daagh","Jigar Moradabadi"
"France Balantič","Jože Snoj"
"Alojz Gradnik","Kajetan Kovič"
"Journal Kyaw Ma Ma Lay","Khin Khin Htoo"
"Khin Hnin Yu","Khin Khin Htoo"
"Weldon Kees","Larry Levis"
"Erico Verissimo","Letícia Wierzchowski"
"M. T. Vasudevan Nair","M. Mukundan"
"Masao Kume","Mantarō Kubota"
"Dominik Smole","Marjan Rožanc"
"France Bevk","Marjan Rožanc"
"Nurul Momen","Munier Choudhury"
"Kazuo Hirotsu","Naoya Shiga"
"Robie Macauley","Paul Theroux"
"Robert Aickman","Peter Straub"
"Dominik Smole","Primož Kozak"
"Gangadhar V. Chittal","R. S. Mugali"
"Amjad Hyderabadi","Rahat Indori"
"Richard Wright","Ralph Ellison"
"Wallace Berman","Richard Prince"
"Lenny Bruce","Richard Pryor"
"Moms Mabley","Richard Pryor"
"Dominik Smole","Rudi Šeligo"
"John Norman","Sharon Green"
"France Prešeren","Simon Gregorčič"
"A. N. Krishna Rao","T. R. Subba Rao"
"Motojirō Kajii","Tatsuji Miyoshi"
"Kyoshi Takahama","Tatsuko Hoshino"
"Jinzai Kiyoshi","Tatsuo Hori"
"Milton A. Rothman","Tony Rothman"
"Aleš Debeljak","Uroš Zupan"
"C. V. Raman Pillai","Uroob"
"Gangadhar V. Chittal","V. K. Gokak"
"John D. MacDonald","Warren Zevon"
"Russell Kirk","William F. Buckley, Jr."
"L. Brent Bozell, Jr.","William F. Buckley, Jr."
"Motojirō Kajii","Yoshiharu Tsuge"
"Samuel Bowles","Herbert Gintis"
"Dorothy Black","Marion Crawford"
"Murray Rothbard","Randall G. Holcombe"
"Lippo Memmi","Naddo Ceccarelli"
"Bernard Malamud","Clark Blaise"
"Roger Ebert","Michael Phillips"
"Howard Hendricks","Tony Evans"
"C. V. Raman Pillai","C. N. Sreekantan Nair"
"Boris Pahor","Drago Jančar"
"Dominik Smole","Drago Jančar"
"Murray Rothbard","Jeffrey Tucker"
"Sarah Moore Grimké","Lucretia Mott"
"Pauline Kael","Greil Marcus"
"Henry Moore","Isaac Witkin"
"Angie Debo","Larry McMurtry"
"Adalbert Stifter","Marianne Moore"
"Jinzai Kiyoshi","Michio Takeyama"
"John Montague","Paul Muldoon"
"Georges Canguilhem","Pierre Bourdieu"
"Roy Johnston","Tomás Mac Giolla"
"Abdul Majid","Władysław Turowicz"
"Wendell Berry","William Greider"
"James Baldwin","Angela Davis"
"Danilo Lokar","Ciril Kosmač"
"France Bevk","Ciril Kosmač"
"John D. Caputo","Gianni Vattimo"
"Louis Émile Javal","Marius Tscherning"
"France Prešeren","Simon Jenko"
"Luigi Malerba","Wu Ming"
"Alexandru Robot","Vladimir Beşleagă"
"Martin Feldstein","Laurence Kotlikoff"
"James Reaney","Milton Acorn"
"Charles K. Eastman","Robert Towne"
"Wendell Berry","Terry Tempest Williams"
"Murray Rothbard","Carl Oglesby"
"Mahjoor","Dinanath Nadim"
"Leonard Peikoff","Harry Binswanger"
"C. V. Raman Pillai","Kavalam Madhava Panikkar"
"Jovan Sterija Popović","Kosta Trifković"
"Alojz Rebula","Vinko Ošlak"
"Niko Grafenauer","Tomaž Šalamun"
"Ronald Firbank","Evelyn Waugh"
"Leigh Brackett","George Lucas"
"Joachim Wach","Mircea Eliade"
"Zenna Henderson","Orson Scott Card"
"Marquis de Sade","Simone de Beauvoir"
"William Goldman","Stephenie Meyer"
"Roger Ebert","A. O. Scott"
"Robert S. Barton","Alan Kay"
"E. F. Benson","Alexander McCall Smith"
"James Merrill","Alfred Corn"
"John Davies","Andreas Gursky"
"Lenny Bruce","Andrew Dice Clay"
"M. Stanton Evans","Ann Coulter"
"Henry Moore","Anthony Caro"
"Marquis de Sade","Camille Paglia"
"Roger Woolger","Carol Bowman"
"Michael de Larrabeiti","China Miéville"
"Richard Matheson","Chris Carter"
"Wesley Clair Mitchell","Clark Warburton"
"David Letterman","Conan O'Brien"
"Lenny Bruce","David Cross"
"Laurence Sterne","Denis Diderot"
"Lenny Bruce","Denis Leary"
"Leonard Peikoff","Edwin A. Locke"
"Alice Dayrell Caldeira Brant","Elizabeth Bishop"
"Frederic Manning","Ezra Pound"
"Frank C. Matthews","50 Cent"
"Mahasweta Devi","Gayatri Chakravorty Spivak"
"Lenny Bruce","George Carlin"
"Charles Bray","George Eliot"
"Ludovico Carracci","Giacomo Cavedone"
"Manon Gropius","Alban Berg"
"Laurence Sterne","Almeida Garrett"
"Binet-Valmer","André Gide"
"France Prešeren","Anton Aškerc"
"Marquis de Sade","Antonin Artaud"
"Karlheinz Steinmüller","Arkady and Boris Strugatsky"
"Kees Bol","Helen Berman"
"James Merrill","Henri Cole"
"William James","Bertrand Russell"
"Fereydoon Motamed","Bertrand Russell"
"Lenny Bruce","Howard Stern"
"Guillermo Marín Ruiz","Carlos Castaneda"
"Count Franz Pocci","Charles Perrault"
"Stanley G. Weinbaum","Isaac Asimov"
"John W. Campbell","Isaac Asimov"
"Karlheinz Steinmüller","Isaac Asimov"
"James Merrill","J. D. McClatchy"
"Jerry Pournelle","James Wesley Rawles"
"Judd Apatow","Jason Segel"
"Jean Shepherd","Jerry Seinfeld"
"Lenny Bruce","Jerry Seinfeld"
"David Letterman","Jim Gaffigan"
"David Letterman","Jimmy Fallon"
"David Letterman","Jimmy Kimmel"
"William James","Edmund Husserl"
"Max Horkheimer","Erich Fromm"
"Frederic Manning","Ernest Hemingway"
"David Letterman","Jon Stewart"
"Lenny Bruce","Jon Stewart"
"Paul Auster","Jonathan Lethem"
"Jean Shepherd","Keith Olbermann"
"Nicholas Wolterstorff","Kendall Walton"
"Fortuné du Boisgobey","Gaston Leroux"
"Lloyd Alexander","George R. R. Martin"
"William James","Henri Bergson"
"Harry Crosby","Henri Cartier-Bresson"
"Max Horkheimer","Herbert Marcuse"
"Jocelyn Herbert","Laurence Olivier"
"Laurence Sterne","Leo Tolstoy"
"Lenny Bruce","Lewis Black"
"Max Horkheimer","Jürgen Habermas"
"Laurence Sterne","James Joyce"
"Roger Angell","John Updike"
"Agustus Montrose","Joseph Conrad"
"Lawrence Durrell","Julio Cortázar"
"Jun Ishikawa","Kōbō Abe"
"Lloyd Alexander","Katherine Paterson"
"James Reaney","Margaret Atwood"
"James Merrill","Mark Doty"
"Georges Canguilhem","Louis Althusser"
"Jules Amédée Barbey d'Aurevilly","Marcel Proust"
"Binet-Valmer","Marcel Proust"
"Saigyō","Matsuo Bashō"
"Leigh Brackett","Michael Moorcock"
"Marquis de Sade","Michel Foucault"
"Georges Canguilhem","Michel Foucault"
"William James","Mordecai Kaplan"
"John Crowley","Neil Gaiman"
"Lenny Bruce","Nick DiPaolo"
"New algebra","Pierre de Fermat"
"Lenny Bruce","Paul Krassner"
"Normand Poirier","Pete Hamill"
"Edward Bunker","Quentin Tarantino"
"Leigh Brackett","Ray Bradbury"
"Stanley G. Weinbaum","Ray Bradbury"
"Henry Moore","Phillip King"
"Moms Mabley","Phyllis Diller"
"Wilfrid Sellars","Richard Rorty"
"William James","Richard Rorty"
"Stanley G. Weinbaum","Robert A. Heinlein"
"Murray Rothbard","Robert Nozick"
"Lawrence Durrell","Roger Zelazny"
"Eugène Minkowski","R. D. Laing"
"Marquis de Sade","Samuel Beckett"
"Jocelyn Herbert","Samuel Beckett"
"Lenny Bruce","Rich Vos"
"Theodor Meynert","Sergei Korsakoff"
"Lenny Bruce","Rick Shapiro"
"Paul Merton","Ricky Gervais"
"Benjamin Tucker","Robert Anton Wilson"
"Kenneth Patchen","Robert Duncan"
"Gordon Clark","Robert L. Reymond"
"Wesley Clair Mitchell","Simon Kuznets"
"Robert G. Ingersoll","Sinclair Lewis"
"Murray Rothbard","Roderick Long"
"Murray Rothbard","Ron Paul"
"Robert Delaunay","Sonia Delaunay"
"Olaf Stapledon","Stanisław Lem"
"Karlheinz Steinmüller","Stanisław Lem"
"M. P. Shiel","Stephen King"
"Richard Matheson","Stephen King"
"Stanley G. Weinbaum","Stephen King"
"John D. MacDonald","Stephen King"
"John Davidson","T. S. Eliot"
"Lloyd Alexander","Terry Pratchett"
"Pierre Teilhard de Chardin","Theodosius Dobzhansky"
"Pierre Duhem","Thomas Kuhn"
"Adalbert Stifter","Thomas Mann"
"Jean Charles Léonard de Sismondi","Thomas Robert Malthus"
"Italo Calvino","Umberto Eco"
"Luigi Malerba","Umberto Eco"
"Karlheinz Steinmüller","Ursula K. Le Guin"
"Paul Auster","Steven Wright"
"Adolphe Joseph Thomas Monticelli","Vincent van Gogh"
"Frederic Manning","T. E. Lawrence"
"Dean Koontz","Ted Dekker"
"Lenny Bruce","Tommy Chong"
"Murray Rothbard","Walter Block"
"Moms Mabley","Wanda Sykes"
"Moms Mabley","Whoopi Goldberg"
"Cardis Cardell Willis","Will Durst"
"James Abbott McNeill Whistler","William Merritt Chase"
"Edwin Thumboo","Alvin Pang"
"Mircea Nedelciu","Dan Lungu"
"Kees Bol","Frank Dekkers"
"James Rollins","Jeremy Robinson"
"Judd Apatow","Joe Lipari"
"Riza Talabani","Abdulla Goran"
"Joan D. Vinge","Alastair Reynolds"
"Beryl McBurnie","Alvin Ailey"
"John Zerzan","Andy Hurley"
"Étienne Souriau","Bruno Latour"
"Hedwig Gorski","Daniel Johnston"
"Paul Merton","Dara Ó Briain"
"Richard Wright","David Mitchell"
"Malcolm Lowry","Denis Johnson"
"Weldon Kees","Donald Justice"
"France Prešeren","Dragotin Kette"
"France Prešeren","Edvard Kocbek"
"Amjad Hyderabadi","Faiz Ahmad Faiz"
"France Prešeren","Ivan Cankar"
"Roger Ebert","James Berardinelli"
"Wilfrid Sellars","Paul Churchland"
"James Baldwin","Rip Torn"
"Pierre Teilhard de Chardin","Thomas Berry"
"Judd Apatow","Lena Dunham"
"Edwin Thumboo","Daren Shiau"
"Zenna Henderson","Kathy Tyers"
"Henry Murray","Abraham Maslow"
"Zora Neale Hurston","Alice Walker"
"Kenneth Patchen","Allen Ginsberg"
"Mohammad Ibrahim Zauq","Bahadur Shah II"
"Olaf Stapledon","Doris Lessing"
"Adalbert Stifter","Friedrich Nietzsche"
"William James","Hilary Putnam"
"Lloyd Alexander","J. K. Rowling"
"Dylan Thomas","John Lennon"
"Frank O'Connor","Julian Barnes"
"Biagio Marin","Luigi Dallapiccola"
"Stanley William Hayter","Pablo Picasso"
"Edward Edson Lee","Stan Lee"
"Laurence Sterne","Thomas Pynchon"
"Oakley Hall","Thomas Pynchon"
"Lawrence Durrell","Thomas Pynchon"
"France Balantič","Gregor Strniša"
"John Zerzan","Kevin Tucker"
"Paul Troger","Franz Anton Maulbertsch"
"Karl Stern","Graham Greene"
"Wouter Crabeth II","Aert van Waes"
"Franz Oppenheimer","Albert Jay Nock"
"Stanley William Hayter","Alexander Calder"
"Peter David","Brian K. Vaughan"
"Carlo Dossi","Carlo Emilio Gadda"
"Murray Rothbard","Chris Matthew Sciabarra"
"Bapsi Sidhwa","Deepa Mehta"
"Leonard Peikoff","George H. Smith"
"Richard Wright","Gwendolyn Brooks"
"Jaime Montestrela","Hervé Le Tellier"
"Wendell Berry","James Baker Hall"
"James Reaney","Jay Macpherson"
"Richard T. Ely","John R. Commons"
"Howard Hendricks","Joseph M. Stowell, III"
"Desmond Hogan","Joyce Carol Oates"
"Martin Feldstein","Lawrence B. Lindsey"
"Martin Feldstein","Lawrence Summers"
"Murray Rothbard","Lew Rockwell"
"Robert G. Ingersoll","Margaret Sanger"
"Wilfrid Sellars","Mark Lance"
"Bernard Malamud","Nathan Englander"
"Forceythe Willson","Oliver Wendell Holmes, Sr."
"Melanie Klein","Otto F. Kernberg"
"Robert Aickman","Ramsey Campbell"
"Murray Rothbard","Randy Barnett"
"Murray Rothbard","Spencer Heath"
"Leonard Peikoff","Tara Smith"
"Dylan Thomas","W. S. Graham"
"Murray Rothbard","Wendy McElroy"
"M. P. Shiel","Arthur Machen"
"France Prešeren","Josipina Turnograjska"
"Kenneth Patchen","Lawrence Ferlinghetti"
"William James","Ola Raknes"
"Max Horkheimer","Walter Benjamin"
"Johann Gustav Droysen","Wilhelm Dilthey"
"Francis Parker Yockey","Norman Lowell"
"José Carlos Mariátegui","Javier Mariátegui"
"Andrew G. White","Jeremy O'Brien"
"Wanda Orlikowski","Paul Leonardi"
"Edwin Thumboo","Gwee Li Sui"
"Guillaume Geefs","Joseph Geefs"
"Karl Stern","Jean Vanier"
"Attash Durrani","Urdu Informatics"
"Lloyd Alexander","Clare B. Dunkle"
"José María Ramos Mejía","Luis Agote"
"Walter Kaufmann","Richard Schacht"
"Lawrence Durrell","Susan Swan"
"Wouter Crabeth II","Dirk de Vrije"
"John Coulthart","David Britton"
"Michael Kremer","Esther Duflo"
"Weldon Kees","Franz Wright"
"Frank Stanford","Franz Wright"
"Robert G. Ingersoll","Hamlin Garland"
"Riza Talabani","Hemin Mukriyani"
"Murray Rothbard","Scott Horton"
"M. Stanton Evans","Michael Fumento"
"Murray Rothbard","Carl Watner"
"Franz Oppenheimer","Frank Chodorov"
"Alojz Rebula","Igor Škamperle"
"Lenny Bruce","Joan Rivers"
"France Prešeren","Oton Župančič"
"Renzo Novatore","Wolfi Landstreicher"
"Theodore Roszak","Baby boomer"
"Murray Rothbard","Bryan Caplan"
"Murray Rothbard","Gene Callahan"
"Karl-Otto Apel","Hans-Hermann Hoppe"
"Murray Rothbard","Hans-Hermann Hoppe"
"Robert G. Ingersoll","Henry Ward Beecher"
"Melanie Klein","Herbert Rosenfeld"
"France Prešeren","Josip Stritar"
"Henriett Seth F.","Mark Haddon"
"Helen Frankenthaler","Morris Louis"
"Alessandro Piperno","Philip Roth"
"Murray Rothbard","Samuel Edward Konkin III"
"Murray Rothbard","Stefan Molyneux"
"James Planché","W. S. Gilbert"
"Derek Mahon","Eamon Grennan"
"Roger Ebert","Harry Knowles"
"T. M. Wright","Jack Ketchum"
"Martin Feldstein","James M. Poterba"
"Wouter Crabeth II","Jan Ariens Duif"
"Luciano Floridi","Terrell Ward Bynum"
"Georges Canguilhem","Dominique Lecourt"
"Jaime Montestrela","Jacques Sternberg"
"Robert S. Barton","James H. Clark"
"Murray Rothbard","Jesús Huerta de Soto"
"John Crowley","Mark Helprin"
"Paul Auster","Steven Hall"
"Lionel Robbins, Baron Robbins","Charles Goodhart"
"Martin Feldstein","David T. Ellwood"
"Wendell Berry","J. Baird Callicott"
"Stanley William Hayter","Mauricio Lasansky"
"Fortuné du Boisgobey","Fergus Hume"
"Martin Feldstein","Harvey S. Rosen"
"Hannes Hólmsteinn Gissurarson","Kjartan Gunnarsson"
"Tao Lin","Zachary German"
"Camilo Pessanha","Fernando Pessoa"
"Lionel Robbins, Baron Robbins","John Hicks"
"Louis Lavelle","Paul Ricœur"
"Theodor Hertzka","Silvio Gesell"
"Francis Parker Yockey","Willis Carto"
"Richard T. Ely","Ha-Joon Chang"
"Martin Feldstein","Joel Slemrod"
"Lawrence Durrell","M. G. Vassanji"
"Hedwig Gorski","Maggie Estep"
"Henriett Seth F.","Birger Sellin"
"Richard Tarnas","Christopher Bache"
"Francis Parker Yockey","James H. Madole"
"Richard Tarnas","Jorge Ferrer"
"William James","Michael Jackson"
"Karl Knies","John Bates Clark"
"Hushang Irani","The New Poetry"
"Hushang Irani","Ahmad Shamloo"
"Hannes Hólmsteinn Gissurarson","Brynjólfur Bjarnason"
"Jean Charles Léonard de Sismondi","Charles Dunoyer"
"Fulvio Tomizza","Claudio Magris"
"Hannes Hólmsteinn Gissurarson","Davíð Oddsson"
"Roger Ebert","David Bordwell"
"Theodor Meynert","Gabriel Anton"
"P. D. James","Morag Joss"
"Napoleon Hill","W. Clement Stone"
"Zora Neale Hurston","Zadie Smith"
"Pierre Teilhard de Chardin","Henri de Lubac"
"Dylan Thomas","Henry Treece"
"Joseph Clement Coll","Roy Krenkel"
"Dominik Smole","Veno Taufer"
"Nick Perumov","Vera Kamsha"
"Gordon Clark","Vincent Cheung"
"Mirza Alakbar Sabir","Baba Punhan"
"José Carlos Mariátegui","Gustavo Gutiérrez"
"N. P. van Wyk Louw","Cromwell Everson"
"Louis Émile Javal","Hjalmar August Schiøtz"
"Alojz Gradnik","Jakob Savinšek"
"Howard Hendricks","David Jeremiah"
"Motojirō Kajii","Fuyuhiko Kitagawa"
"Pascal Kenfack","Goddy Leye"
"Mazhar Kaleem","Ibn-e-Safi"
"Park Myeong-su","Jeong Hyeong-don"
"M. Stanton Evans","John Fund"
"Jovan Dučić","Prvoslav Vujčić"
"Peter Voulkos","Robert Arneson"
"James Baldwin","Susan Straight"
"Octavia E. Butler","Tananarive Due"
"Stilpo","Asclepiades of Phlius"
"Walter Kaufmann","Ivan Soll"
"Wilfrid Sellars","Ray Brassier"
"Murray Rothbard","Sheldon Richman"
"Motojirō Kajii","Shigeru Tonomura"
"Andrea Pozzo","Agostino Collaceroni"
"Jaime Montestrela","Jorge de Sena"
"Wendell Berry","Paul B. Thompson"
"Fayyazuddin","Abdus Salam"
"Wesley Clair Mitchell","Arthur F. Burns"
"Dean Koontz","Bentley Little"
"Binet-Valmer","Georges Simenon"
"Paul Auster","Hideo Kojima"
"Stanley William Hayter","Jackson Pollock"
"Murray Rothbard","Joseph Sobran"
"Bartholomeus van der Helst","Joshua Reynolds"
"Johann Heinrich Schulze","Nicéphore Niépce"
"Italo Calvino","Salman Rushdie"
"Hushang Irani","Ahmadreza Ahmadi"
"Colin Lane","Sammy J"
"Henning Mankell","Stieg Larsson"
"James Baldwin","Huey P. Newton"
"Daagh","Muhammad Iqbal"
"Louis Lavelle","Jacques de Bourbon-Busset"
"Theodor Meynert","Paul Flechsig"
"Camilo Pessanha","Wenceslau de Moraes"
"Mircea Nedelciu","Andrei Bodiu"
"Kenny Scharf","Dearraindrop"
"Anton Vodnik","France Vodnik"
"Harold Arthur Prichard","H. H. Price"
"Francis Parker Yockey","H. Keith Thompson"
"Lenny Bruce","Jerry Sadowitz"
"Alojz Gradnik","Lili Novy"
"Caroline Leakey","Marcus Clarke"
"Nicolae Constantin Batzaria","Mircea Dinescu"
"Stilpo","Nicarete of Megara"
"N. D. Cocea","Scarlat Callimachi"
"John Zerzan","Species Traitor"
"Dominik Smole","Taras Kermauner"
"France Balantič","Taras Kermauner"
"Marjan Rožanc","Taras Kermauner"
"Hushang Irani","Yadollah Royaee"
"Murray Rothbard","Bernard von NotHaus"
"Edward Dwelly","Scottish Gaelic Renaissance"
"Artur Azevedo","Adelino Fontoura"
"James Reaney","Al Purdy"
"Herbert McCabe","Alasdair MacIntyre"
"Muhammad Tahir","Allama Muhammad Idrees Dahiri"
"Oakley Hall","Amy Tan"
"Max Horkheimer","Axel Honneth"
"William James","B. Alan Wallace"
"Zora Neale Hurston","Barbara Smith"
"William James","C. West Churchman"
"Stanley William Hayter","Clifton Pugh"
"Desmond Hogan","Colm Tóibín"
"Frank O'Connor","Colm Tóibín"
"Henriett Seth F.","Donna Williams"
"Judd Apatow","Evan Goldberg"
"Marquis de Sade","Georges Bataille"
"Paul Auster","Jason Thornberry"
"John Okada","Lawson Fusao Inada"
"Robert G. Ingersoll","Lew Wallace"
"Judd Apatow","Nicholas Stoller"
"Oakley Hall","Richard Ford"
"Roderick Chisholm","Richard Taylor"
"Robert G. Ingersoll","Susan Jacoby"
"Leah Blatt Glasser","Suzan-Lori Parks"
"Mary McHenry","Suzan-Lori Parks"
"James Baldwin","Suzan-Lori Parks"
"Herbert McCabe","Terry Eagleton"
"Dylan Thomas","Theodore Roethke"
"Louise Bogan","Theodore Roethke"
"Snowden D. Flora","Thomas P. Grazulis"
"Angie Debo","Vine Deloria, Jr."
"Adalbert Stifter","W. G. Sebald"
"Italo Calvino","W. G. Sebald"
"César Baldaccini","Ahmed Benyahia"
"Joseph Clement Coll","Al Williamson"
"Oscar E. Berninghaus","Albert Looking Elk"
"Aung Soe","Aung Myint"
"Andrea Locatelli","Claude Joseph Vernet"
"Stanley William Hayter","Frank Hodgkinson"
"Bartholomeus van der Helst","Govert Flinck"
"Kees Bol","Jan Martens"
"Park Myeong-su","Jeong Jun-ha"
"Frank Skinner","Kevin Bridges"
"Wahbi al-Hariri","Louay Kayyali"
"Peter Hide","Royden Mills"
"Daagh","Seemab Akbarabadi"
"Stanley William Hayter","Tinca Stegovec"
"Frank C. Matthews","Vado"
"Étienne Souriau","Isabelle Stengers"
"Emilio Salgari","Folco Quilici"
"Richard Matheson","Richard Christian Matheson"
"Jules Amédée Barbey d'Aurevilly","Joris-Karl Huysmans"
"Wilfrid Sellars","James F. Conant"
"Yue Minjun","Fang Lijun"
"Asaga","Sri Ponna"
"Edwin Thumboo","Koh Buck Song"
"Leonard Peikoff","David Kelley"
"Mir Taqi Mir","Ghalib"
"Baksh Nasikh","Ghalib"
"Stilpo","Menedemus"
"Armando Iannucci","Damon Beesley"
"Horst Siebert","Jan Hatzius"
"Robert G. Ingersoll","Joseph L. Lewis"
"Murray Rothbard","Anarcho-capitalist symbolism"
"Pierre Duhem","Stanley Jaki"
"Mir Taqi Mir","Urdu poetry"
"Mustafa Rahi","Urdu poetry"
"Noon Meem Rashid","Urdu poetry"
"Agha Bismil","Urdu poetry"
"Ahmad Faraz","Urdu poetry"
"Akhlaq Mohammed Khan","Urdu poetry"
"Akhtar Sheerani","Urdu poetry"
"Amir Meenai","Urdu poetry"
"Amjad Hyderabadi","Urdu poetry"
"Baksh Nasikh","Urdu poetry"
"Bashir Badr","Urdu poetry"
"Fahmida Riaz","Urdu poetry"
"Ghulam Muhammad Qasir","Urdu poetry"
"Habib Jalib","Urdu poetry"
"Ibn-e-Insha","Urdu poetry"
"Iftikhar Arif","Urdu poetry"
"Irshad Kamil","Urdu poetry"
"Javed Akhtar","Urdu poetry"
"Jon Elia","Urdu poetry"
"Mah Laqa Bai","Urdu poetry"
"Majaz","Urdu poetry"
"Mir Babar Ali Anis","Urdu poetry"
"Mohsin Naqvi","Urdu poetry"
"Muhammad Changiz Khan Tariqui","Urdu poetry"
"Muhammad Younis Butt","Urdu poetry"
"Nasir Kazmi","Urdu poetry"
"Pagal Adilabadi","Urdu poetry"
"Carlo Dossi","Alberto Arbasino"
"H. Charles McBarron, Jr.","Martin Handford"
"Guillaume Geefs","Paul Bouré"
"France Balantič","Vladimir Truhlar"
"Robert S. Barton","John Warnock"
"Hannes Hólmsteinn Gissurarson","Þorsteinn Pálsson"
"László Krasznahorkai","Béla Tarr"
"Kenny Everett","Chris Moyles"
"Walter Kaufmann","Frithjof Bergmann"
"Martin Feldstein","Glenn Hubbard"
"Robert S. Barton","Henri Gouraud"
"Dylan Thomas","James K. Baxter"
"Wang Li","Michael Halliday"
"Karl Stern","Henri Nouwen"
"Federico Cantú Garza","Juan Soriano"
"Gordon Boshell","Andy Briggs"
"Peter Boettke","Christopher Coyne"
"Martin Feldstein","Eli Noam"
"Mahjoor","Abdul Ahad Azad"
"Edwin Thumboo","Lee Tzu Pheng"
"Mircea Nedelciu","Lucian Dan Teodorovici"
"John Montague","Medbh McGuckian"
"Emilio Salgari","Luigi Motta"
"Abdulla Qahhor","Said Ahmad"
"Greg Hall","Stephen Kessler"
"Pierre Duhem","John Worrall"
"Motojirō Kajii","Akira Yoshimura"
