"James Braid","Étienne Eugène Azam"
"Jacques Rivière","Alain-Fournier"
"Alfred North Whitehead","B. F. Skinner"
"Tudor Arghezi","Benjamin Fondane"
"Abbie Hoffman","Boots Riley"
"Richard Hofstadter","C. Vann Woodward"
"Hunter S. Thompson","Caleb Schaber"
"Bernard Cornwell","Conn Iggulden"
"Aldous Huxley","Cyril Connolly"
"Clark Ashton Smith","David A. Hargrave"
"Phillip Blond","David Cameron"
"Richard Hofstadter","David W. Noble"
"Clark Ashton Smith","Emil Petaja"
"Richard Hofstadter","Eric Foner"
"Christian von Ehrenfels","Felix Weltsch"
"William Stanley Jevons","Frank Fetter"
"Vannevar Bush","Frederick Terman"
"Alfred North Whitehead","George Herbert Mead"
"William Styron","George Plimpton"
"Aldous Huxley","Gerald Heard"
"Robert B. Parker","Harlan Coben"
"Theodore Sturgeon","Harlan Ellison"
"Alexander Pushkin","Henry James"
"Hubert Selby, Jr.","Henry Rollins"
"A. Merritt","Jack Williamson"
"Donald Barthelme","Jacob M. Appel"
"Alice Pike Barney","James Abbott McNeill Whistler"
"Robert W. Chambers","James Blish"
"Clark Ashton Smith","James Lowder"
"Diana Gabaldon","Jeaniene Frost"
"Laurell K. Hamilton","Jeaniene Frost"
"Jack Vance","Jeff VanderMeer"
"Ken Kesey","Jerry Garcia"
"Paul Otlet","Jesse Shera"
"Hans Jonas","John Crowley"
"Alexander Pushkin","Joseph Brodsky"
"Alan Moore","Joss Whedon"
"Georg Henrik von Wright","Karl-Otto Apel"
"Robert W. Chambers","Karl Edward Wagner"
"Alexei Savrasov","Konstantin Korovin"
"William Stanley Jevons","Lionel Robbins, Baron Robbins"
"Robert W. Chambers","Marion Zimmer Bradley"
"Sándor Ferenczi","Michael Balint"
"Jack Vance","Michael Chabon"
"Philippa Foot","Michael Slote"
"Alan Watts","Monica Furlong"
"Sidney Hook","Morris Janowitz"
"Robert W. Chambers","Paul Edwin Zimmer"
"Alfred North Whitehead","Paul Weiss"
"Abbie Hoffman","Penn Jillette"
"Robert B. Parker","Peter David"
"Émile Durkheim","Randall Collins"
"R. A. Lafferty","Ray Vukcevich"
"Paul Otlet","Robert M. Hayes"
"Robert W. Chambers","Robert Shea"
"Brian O'Nolan","Spike Milligan"
"Abbie Hoffman","Steve Conliff"
"Liviu Rebreanu","Steven Brust"
"Alexandre Dumas","Steven Brust"
"Christoph von Sigwart","William James"
"David Hartley","William James"
"Paul Otlet","Luciano Floridi"
"Richard Brautigan","Philippe Djian"
"Alexius Meinong","Roderick Chisholm"
"Arcesilaus","Lacydes of Cyrene"
"Alfred North Whitehead","Nicholas Rescher"
"Bernard Stiegler","Daniel Ross"
"Donald Barthelme","Donald Antrim"
"Paul Romer","Lars Pålsson Syll"
"Rodney Brooks","Andy Clark"
"Lois Lowry","Aprilynne Pike"
"Ted Chiang","Daniel Abraham"
"Alan Moore","Dax Riggs"
"William Carlos Williams","Denise Levertov"
"Anita Mui","Eason Chan"
"Alan Moore","Kurt Busiek"
"Rodney Dangerfield","Norm Macdonald"
"Nalî","Riza Talabani"
"Otto Rank","Rollo May"
"Philippa Foot","Rosalind Hursthouse"
"Robert W. Chambers","Seabury Quinn"
"Richard Brautigan","W. P. Kinsella"
"Robert Southey","Ebenezer Elliott"
"Sándor Ferenczi","Nicolas Abraham"
"René Guénon","Michel Valsan"
"Srečko Kosovel","Aleš Debeljak"
"Josip Murn","Alojz Gradnik"
"Srečko Kosovel","Alojz Rebula"
"Bernard Cornwell","Angus Donald"
"Richard Hofstadter","Arthur M. Schlesinger, Jr."
"Srečko Kosovel","Boris Pahor"
"Jack Smith","Cindy Sherman"
"Robert B. Parker","Colin Bateman"
"Jack Vance","Dean Koontz"
"Yayoi Kusama","Donald Judd"
"Alexander Pushkin","Dylan Thomas"
"John Clare","Edmund Blunden"
"Siegfried Sassoon","Edmund Blunden"
"Liviu Rebreanu","Emilio Salgari"
"Alexandre Dumas","Emilio Salgari"
"Donald Barthelme","Eric Miles Williamson"
"Josip Murn","France Balantič"
"Srečko Kosovel","France Balantič"
"Per Wahlöö","Henning Mankell"
"Ion Creangă","Horia Gârbea"
"Ion Creangă","I. Dragoslav"
"Manny Farber","J. Hoberman"
"Nicolas de Largillière","Jacob van Schuppen"
"Brian O'Nolan","Jamie O'Neill"
"Maya Deren","Jane Campion"
"William Styron","Janet Frame"
"Hunter S. Thompson","Jeffrey Morgan"
"Josip Murn","Jože Snoj"
"Brian O'Nolan","John Murray"
"Liviu Rebreanu","Juan Gómez-Jurado"
"Alexandre Dumas","Juan Gómez-Jurado"
"Kyōka Izumi","Jun'ichirō Tanizaki"
"Donald Barthelme","Kyle Muntz"
"Attila József","László Németh"
"Hunter S. Thompson","Lester Bangs"
"Ken Kesey","Lester Bangs"
"Ion Creangă","Mircea Nedelciu"
"Ion Creangă","Nicolae Constantin Batzaria"
"Jean Rhys","Noah Cicero"
"Anita Mui","Patrick Tam"
"William Styron","Peter Matthiessen"
"Lucy Maud Montgomery","Rachna Gilmore"
"René Guénon","Raymond Queneau"
"Redd Foxx","Richard Pryor"
"William Styron","Richard Yates"
"Allen Tate","Robert Lowell"
"Hart Crane","Robert Lowell"
"John Berryman","Robert Lowell"
"William Carlos Williams","Robert Lowell"
"Dane Zajc","Rudi Šeligo"
"Theodore Sturgeon","Samuel R. Delany"
"James Hadley Chase","Surender Mohan Pathak"
"Dane Zajc","Svetlana Makarovič"
"Siegfried Sassoon","Wilfred Owen"
"Richard Brautigan","William Michaelian"
"Émile Durkheim","Ziya Gökalp"
"Zhou Dunyi","Cheng Yi"
"Hubert Dreyfus","Tao Ruspoli"
"Aristippus","Anniceris"
"William Carlos Williams","Charles Olson"
"Mary Douglas","David Bloor"
"Émile Durkheim","David Bloor"
"Hans Jonas","Eric Voegelin"
"Felix Andries Vening Meinesz","Harry Hammond Hess"
"Han Ryner","Iniciales"
"Hans Jonas","Leon Kass"
"Aldous Huxley","Leon Kass"
"William Carlos Williams","Robert Creeley"
"Jeanette Winterson","Sarah Waters"
"Paul Otlet","Alexander Ivanovich Mikhailov"
"René Guénon","Ananda Coomaraswamy"
"Hunter S. Thompson","Cintra Wilson"
"Sultan Bashiruddin Mahmood","Israr Ahmed"
"Vardis Fisher","Larry McMurtry"
"H. L. A. Hart","Leslie Green"
"Han Ryner","Maria Lacerda de Moura"
"Barbara Guest","Norma Cole"
"Émile Durkheim","Pierre Bourdieu"
"Hunter S. Thompson","Warren Ellis"
"Srečko Kosovel","Matej Bor"
"Alfred North Whitehead","William Irwin Thompson"
"Jan Kasprowicz","Francis Jammes"
"Peter Whittle","Karl Gustav Jöreskog"
"Hubert Dreyfus","Mark Wrathall"
"Dane Zajc","Tomaž Šalamun"
"Srečko Kosovel","Tomaž Šalamun"
"Hermann Ulrici","Andrew Seth Pringle-Pattison"
"Alexander Pushkin","Boris Pasternak"
"Ennio Flaiano","Federico Fellini"
"Richard Brautigan","Haruki Murakami"
"Otto Rank","Irvin D. Yalom"
"Redd Foxx","Jamie Foxx"
"Jack Smith","John Zorn"
"Fernão Lopes de Castanheda","Luís de Camões"
"René Guénon","Mircea Eliade"
"Alexander Pushkin","Osip Mandelstam"
