37,709,82,4
37,710,81,3
37,710,82,4
37,710,83,4
37,711,81,4
37,711,82,3
38,703,84,3
38,706,85,4
38,707,83,4
38,709,84,4
38,710,81,5
38,710,82,7
38,710,83,41
38,710,84,20
38,711,81,6
38,711,82,34
38,711,83,36
38,712,81,6
38,712,82,7
38,712,83,19
38,714,80,5
38,714,81,2
38,715,80,5
38,715,81,5
38,716,78,3
38,716,79,3
38,717,78,3
38,717,79,3
38,721,77,5
39,702,84,7
39,702,85,5
39,703,84,5
39,703,85,7
39,704,85,4
39,706,82,6
39,706,83,6
39,706,84,31
39,706,85,27
39,706,86,5
39,707,83,40
39,707,84,23
39,708,81,5
39,708,83,35
39,708,84,9
39,709,81,4
39,709,82,14
39,709,83,37
39,709,84,6
39,709,85,5
39,710,81,5
39,710,82,40
39,710,83,29
39,710,84,79
39,710,85,66
39,711,81,5
39,711,82,12
39,711,83,30
39,711,84,31
39,712,81,42
39,712,82,42
39,712,83,26
39,712,84,59
39,713,79,6
39,713,81,3
39,713,82,13
39,713,83,5
39,714,81,34
39,714,82,5
39,714,83,5
39,715,80,38
39,715,81,39
39,715,82,114
39,716,81,5
39,716,82,6
39,717,78,5
39,717,79,6
39,717,80,5
39,718,79,5
39,719,79,27
39,719,80,41
39,721,77,6
39,721,78,32
39,721,79,41
39,723,76,5
39,723,77,7
39,723,78,31
39,726,75,4
40,700,84,4
40,700,85,39
40,700,86,4
40,701,83,3
40,701,86,4
40,702,83,3
40,702,84,5
40,702,85,37
40,702,86,5
40,703,85,7
40,703,86,12
40,704,85,5
40,704,86,192
40,705,81,5
40,705,82,7
40,705,84,36
40,705,85,5
40,705,86,6
40,706,82,6
40,706,83,6
40,706,84,4
40,706,85,6
40,706,86,14
40,706,87,12
40,707,82,38
40,707,83,40
40,707,84,15
40,707,85,180
40,707,86,57
40,707,87,162
40,708,80,4
40,708,81,6
40,708,83,36
40,708,84,13
40,708,85,179
40,708,86,33
40,708,87,12
40,709,80,5
40,709,81,22
40,709,82,41
40,709,83,6
40,709,84,8
40,709,85,14
40,709,86,35
40,710,81,5
40,710,82,13
40,710,83,11
