2011-02-23 462
2011-04-07 534
2011-04-07 517
2011-04-14 557
2011-04-16 563
2011-05-23 562
2011-05-28 596
2011-06-04 554
2011-06-05 562
2011-07-21 609
2011-10-13 678
2012-01-17 807
2012-01-20 849
2012-01-27 820
2012-02-05 822
2012-02-15 909
2012-02-24 856
2012-02-29 930
2012-03-09 915
2012-04-19 1098
2012-04-23 1074
2012-05-29 1110
2012-06-12 1283
2012-06-19 1328
2012-07-25 1420
2012-08-31 1463
2012-10-06 1447
2012-10-21 1553
2013-03-21 1569
2013-05-08 1508
2013-08-20 1690
2013-09-06 1710
2014-01-27 1850
2014-03-24 1819
2014-04-22 1835
2014-05-23 1741
2014-08-18 1830
2015-03-01 1907
2015-05-04 1904
2015-07-05 1832
2015-07-30 2096
2015-09-24 2054
2016-07-03 2062
2016-08-25 1996
2016-09-26 2224
2016-11-28 2336
2016-12-27 2262
2017-05-27 2064
2017-09-20 2225
2018-04-01 2197
