"Nicholas F. Benton","Luca Cardelli","Cédric Fournet",
"PARC","Butler Lampson",
"Warren Burton","Erik Meijer","John Hughes","Lennart Augustsson","Philip Wadler","Simon Peyton Jones","Paul Hudak","Alastair Reid","Brian Boutel","Colin Runciman","Dave Barton","John Launchbury","John Peterson","Joseph Fasel","Kevin Hammond","Mark Jones","Ralf Hinze","Thomas Johnsson",
"Steven Pemberton","Leo Geurts","Lambert Meertens",
"Edward A. Ashcroft","William W. Wadge",
"Ascánder Suárez","Xavier Leroy","Gérard Huet","Guy Cousineau","Michel Mauny","Pierre Weis",
"Alastair Reid","Erik Meijer","John Hughes","Lennart Augustsson","Philip Wadler","Simon Peyton Jones","Paul Hudak","Brian Boutel","Colin Runciman","Dave Barton","John Launchbury","John Peterson","Joseph Fasel","Kevin Hammond","Mark Jones","Ralf Hinze","Thomas Johnsson","Warren Burton",
"Francis McCabe","Keith Clark",
"Sean Dorward","Rob Pike","Phil Winterbottom",
"Ross Ihaka","Robert Gentleman",
"Philip Wadler","Erik Meijer","John Hughes","Lennart Augustsson","Simon Peyton Jones","Paul Hudak","Alastair Reid","Brian Boutel","Colin Runciman","Dave Barton","John Launchbury","John Peterson","Joseph Fasel","Kevin Hammond","Mark Jones","Ralf Hinze","Thomas Johnsson","Warren Burton","Gilad Bracha","Martin Odersky","David Stoutamire","William Maddox",
"Raymond F. Boyce","Donald D. Chamberlin",
"William W. Wadge","Edward A. Ashcroft",
"Anders Hejlsberg","Niklaus Wirth","Apple Inc.",
"D. B. Russell","William Wulf","Nico Habermann",
"Ken Thompson","Rob Pike","Robert Griesemer",
"Kristen Nygaard","Ole-Johan Dahl","Birger Møller-Pedersen",
"Ge Wang","Perry R. Cook",
"D.T. Barnard","James Cordy","Ric Holt","D.B. Wortman",
"Bernard Vauquois","Friedrich L. Bauer","Peter Naur","Adriaan van Wijngaarden","John Backus","Klaus Samelson","Alan Perlis","John McCarthy","Heinz Rutishauser","Charles Katz","Joseph Henry Wegstein","Julien Green","Michael Woodger","Friedrich L. Bauer","Peter Naur","Adriaan van Wijngaarden","John Backus","Klaus Samelson","Alan Perlis","John McCarthy","Heinz Rutishauser","Charles Katz","Hermann Bottenbruch","Joseph Henry Wegstein","Julien Green","Michael Woodger",
"Leszek Pacholski","Kamil Skalski","Michał Moskal","Paweł Olszta",
"Apple Inc.","Niklaus Wirth","Anders Hejlsberg",
"Lennart Augustsson","Erik Meijer","John Hughes","Philip Wadler","Simon Peyton Jones","Paul Hudak","Alastair Reid","Brian Boutel","Colin Runciman","Dave Barton","John Launchbury","John Peterson","Joseph Fasel","Kevin Hammond","Mark Jones","Ralf Hinze","Thomas Johnsson","Warren Burton",
