"René Guénon","Jean-Louis Michon"
"René Guénon","André Breton"
"René Guénon","Julius Evola"
"René Guénon","René Daumal"
"René Guénon","Huston Smith"
"Richard Swinburne","Keith Ward"
"Richard Swinburne","Antony Flew"
"Robert B. Pippin","John McDowell"
"Robert B. Pippin","Robert Brandom"
"Robert B. Pippin","Terry Pinkard"
"Robert B. Pippin","Paul Redding"
"Robert Brandom","Mark Lance"
"Ronald Dworkin","Robert Alexy"
"Sidney Hook","Paul Kurtz"
"Sidney Hook","Morris Janowitz"
"Sufyan al-Thawri","Dawud al-Zahiri"
"Susanne Langer","Bernard Lonergan"
"W. D. Ross","Bernard Gert"
"W. D. Ross","Tara Smith"
"W. D. Ross","Robert Audi"
"Zhou Dunyi","Cheng Yi"
"Zhou Dunyi","Cheng Hao"
"Zhou Dunyi","Zhu Xi"
"A. J. Ayer","R. M. Hare"
"A. J. Ayer","Mihailo Marković"
"Al-Dhahabi","Ibn Kathir"
"Alexis de Tocqueville","Max Weber"
"Alexis de Tocqueville","Friedrich Hayek"
"Alexis de Tocqueville","John Stuart Mill"
"Alexis de Tocqueville","Raymond Aron"
"Alexis de Tocqueville","Emmanuel Todd"
"Alexis de Tocqueville","Pierre Manent"
"Alfred North Whitehead","Hans Jonas"
"Alfred North Whitehead","Susanne Langer"
"Alfred North Whitehead","William Frankena"
"Alfred North Whitehead","Gilles Deleuze"
"Alfred North Whitehead","Maurice Merleau-Ponty"
"Alfred North Whitehead","Talcott Parsons"
"Alfred North Whitehead","B. F. Skinner"
"Alfred North Whitehead","George Herbert Mead"
"Alfred North Whitehead","Paul Weiss"
"Alfred North Whitehead","Nicholas Rescher"
"Alfred North Whitehead","William Irwin Thompson"
"Alfred North Whitehead","Bertrand Russell"
"Alfred North Whitehead","Mordecai Kaplan"
"Alfred North Whitehead","Willard Van Orman Quine"
"Alfred North Whitehead","Wolfgang Smith"
"Alfred North Whitehead","Bruno Latour"
"Alfred North Whitehead","Luis G. Pedraja"
"Alfred North Whitehead","Charles Hartshorne"
"Alfred North Whitehead","Philip Clayton"
"Alfred North Whitehead","Wilmon Henry Sheldon"
"Alfred North Whitehead","Terence McKenna"
"Alfred North Whitehead","Isabelle Stengers"
"Alfred North Whitehead","Michel Weber"
"Alfred North Whitehead","Jean Wahl"
"Anaxagoras","Pericles"
"Anaxagoras","Archelaus"
"Apollonius of Tyana","Philostratus"
"Arcesilaus","Carneades"
"Arcesilaus","Lacydes of Cyrene"
"Arcesilaus","Philo of Larissa"
"Arcesilaus","Clitomachus"
"Aristippus","Michel Onfray"
"Aristippus","Anniceris"
"Aristippus","Epicurus"
"Aristippus","Hegesias of Cyrene"
"Aristippus","Arete of Cyrene"
"Aristippus","Aristippus the Younger"
"Aristippus","Theodorus the Atheist"
"Arthur Schopenhauer","Samuel Beckett"
"Auguste Comte","Émile Meyerson"
"Auguste Comte","Émile Durkheim"
"Auguste Comte","Ernst Mach"
"Auguste Comte","Karl Marx"
"Auguste Comte","Émile Littré"
"Auguste Comte","Herbert Spencer"
"Auguste Comte","Cesare Lombroso"
"Auguste Comte","John Stuart Mill"
"Auguste Comte","Vilfredo Pareto"
"Auguste Comte","Paul Masson-Oursel"
"Auguste Comte","Harriet Martineau"
"Auguste Comte","Hippolyte Taine"
"Auguste Comte","Théodule-Armand Ribot"
"Auguste Comte","Pierre Laffitte"
"Auguste Comte","Alfred Espinas"
"Auguste Comte","Charles Maurras"
"Auguste Comte","Frederic Harrison"
"Bayazid Bastami","Muhammad Iqbal"
"Bayazid Bastami","Abu al-Hassan al-Kharaqani"
"Bayazid Bastami","Mansur Al-Hallaj"
"Bernard Williams","Jennifer Hornsby"
"Carl Gustav Hempel","Richard Jeffrey"
"Carl Gustav Hempel","Robert Nozick"
"Carl Gustav Hempel","Jaegwon Kim"
"Carl Gustav Hempel","John Earman"
"Carneades","Philo of Larissa"
"Carneades","Sextus Empiricus"
"Carneades","Clitomachus"
"Christian Wolff","Emerich de Vattel"
"Christian Wolff","Johannes Nikolaus Tetens"
"Christian Wolff","Immanuel Kant"
"Christian Wolff","Alexander Gottlieb Baumgarten"
"Christian Wolff","Georg Bernhard Bilfinger"
"Chrysippus","Stoicism"
"Cleanthes","Chrysippus"
"Cleanthes","Sphaerus"
"Crates of Thebes","Zeno of Citium"
"Crates of Thebes","Metrocles"
"Crates of Thebes","Hipparchia of Maroneia"
"Daniel Dennett","Richard Dawkins"
"Democritus","Lucretius"
"Democritus","Michel Onfray"
"Democritus","George Santayana"
"Democritus","Epicurus"
"Democritus","Michel de Montaigne"
"Democritus","Aristotle"
"Democritus","Friedrich Nietzsche"
"Democritus","Pyrrho"
"Democritus","Marco Aurelio Severino"
"Empedocles","Lucretius"
"Empedocles","Aristotle"
"Empedocles","Friedrich Nietzsche"
"Empedocles","Gorgias"
"Epictetus","Han Ryner"
"Epictetus","Arrian"
"Epictetus","Marcus Aurelius"
"Epictetus","Junius Rusticus"
"Epictetus","Albert Ellis"
"Ernst Cassirer","Susanne Langer"
"Ernst Cassirer","Leo Strauss"
"Ernst Cassirer","Wilbur Marshall Urban"
"Euclid of Megara","Stilpo"
"Euclid of Megara","Eubulides"
"Euclid of Megara","Clinomachus"
"Euclid of Megara","Ichthyas"
"Euclid of Megara","Thrasymachus of Corinth"
"Francis Bacon","Thomas Hobbes"
"Francis Bacon","Thomas Jefferson"
"Francis Bacon","William Petty"
"Francis Bacon","Isaac Newton"
"Francis Bacon","John Locke"
"Francis Bacon","Basil Montagu"
"Francis Bacon","Encyclopédistes"
"Fredric Jameson","Slavoj Žižek"
"G. E. Moore","W. D. Ross"
"G. E. Moore","Ludwig Wittgenstein"
"G. E. Moore","Bertrand Russell"
"G. E. Moore","J. L. Austin"
"G. E. Moore","Max Black"
"Gabriel Marcel","Pierre Boutang"
"Gilles Deleuze","Brian Massumi"
"Gilles Deleuze","Kathy Acker"
"Gilles Deleuze","Michael Hardt"
"Gilles Deleuze","Pierre Klossowski"
"Gilles Deleuze","Erin Manning"
"Gilles Deleuze","Michel Foucault"
"Gilles Deleuze","Félix Guattari"
"Gilles Deleuze","Mark Poster"
"Gilles Deleuze","Lewis Call"
"Gilles Deleuze","Nathan Widder"
"Gilles Deleuze","Antonio Negri"
"Gilles Deleuze","Paul R. Patton"
"Gilles Deleuze","François Noudelmann"
"Gilles Deleuze","Guy Hocquenghem"
"Gilles Deleuze","Alexander Bard"
"Gilles Deleuze","William E. Connolly"
"Gilles Deleuze","Levi Bryant"
"Gilles Deleuze","Reza Negarestani"
"Gilles Deleuze","Michael J. Shapiro"
"Gilles Deleuze","Nick Land"
"Gilles Deleuze","Quentin Meillassoux"
"Gilles Deleuze","Peter Hallward"
"Gilles Deleuze","Manuel De Landa"
"Gilles Deleuze","Éric Alliez"
"Gilles Deleuze","Jean-Jacques Lecercle"
"Gilles Deleuze","John Protevi"
"Guy Debord","May 1968 protests in France"
"Heraclitus","Alfred North Whitehead"
"Heraclitus","Parmenides"
"Heraclitus","Friedrich Engels"
"Heraclitus","Georg Wilhelm Friedrich Hegel"
"Heraclitus","Martin Heidegger"
"Heraclitus","Oswald Spengler"
"Heraclitus","Aristotle"
"Heraclitus","Friedrich Nietzsche"
"Heraclitus","Plato"
"Heraclitus","Terence McKenna"
"Iamblichus","Proclus"
"Isaiah Berlin","John Rawls"
"James Mill","John Stuart Mill"
"Johann Friedrich Herbart","Immanuel Hermann Fichte"
"Johann Friedrich Herbart","Hermann Lotze"
"Johann Friedrich Herbart","Antonio Labriola"
"Johann Friedrich Herbart","Edmund Husserl"
"Johann Friedrich Herbart","Wilhelm Windelband"
"Johann Friedrich Herbart","Friedrich Eduard Beneke"
"John Dewey","Thorstein Veblen"
"John Rawls","Thomas Nagel"
"Joseph Raz","Julie Dickson"
"Karel Kosík","Reception theory"
"Karl Korsch","Bertolt Brecht"
