Company Name,Com Shares Outstanding Qtly[0Q],Com Shares Outstanding Qtly[-1Q],Com Shares Outstanding Qtly[-2Q],Com Shares Outstanding Qtly[-3Q],Com Shares Outstanding Qtly[-4Q],Com Shares Outstanding Qtly[-5Q],Com Shares Outstanding Qtly[-6Q],Com Shares Outstanding Qtly[-7Q],Com Shares Outstanding Qtly[-8Q],Com Shares Outstanding Qtly[-9Q],Com Shares Outstanding Qtly[-10Q],Com Shares Outstanding Qtly[-11Q],Com Shares Outstanding Qtly[-12Q],Com Shares Outstanding Qtly[-13Q],Com Shares Outstanding Qtly[-14Q],Com Shares Outstanding Qtly[-15Q],Com Shares Outstanding Qtly[-16Q],Com Shares Outstanding Qtly[-17Q],Com Shares Outstanding Qtly[-18Q],Com Shares Outstanding Qtly[-19Q],Com Shares Outstanding Qtly[-20Q],Com Shares Outstanding Qtly[-21Q],Com Shares Outstanding Qtly[-22Q],Com Shares Outstanding Qtly[-23Q],Com Shares Outstanding Qtly[-24Q],Com Shares Outstanding Qtly[-25Q],Com Shares Outstanding Qtly[-26Q],Com Shares Outstanding Qtly[-27Q],Com Shares Outstanding Qtly[-28Q],Com Shares Outstanding Qtly[-29Q],Com Shares Outstanding Qtly[-30Q],Com Shares Outstanding Qtly[-31Q],Com Shares Outstanding Qtly[-32Q],Com Shares Outstanding Qtly[-33Q],Com Shares Outstanding Qtly[-34Q],Com Shares Outstanding Qtly[-35Q],Com Shares Outstanding Qtly[-36Q],Com Shares Outstanding Qtly[-37Q],Com Shares Outstanding Qtly[-38Q],Com Shares Outstanding Qtly[-39Q],Com Shares Outstanding Qtly[-40Q],Com Shares Outstanding Qtly[-41Q],Com Shares Outstanding Qtly[-42Q],Com Shares Outstanding Qtly[-43Q],Com Shares Outstanding Qtly[-44Q],Com Shares Outstanding Qtly[-45Q],Com Shares Outstanding Qtly[-46Q],Com Shares Outstanding Qtly[-47Q],Com Shares Outstanding Qtly[-48Q]
TELEPHONE & DATA SYSTEMS INC,108.45541960246555,112.38166311648456,112.31210015792749,112.6240719479847,112.9784217445067,113.4936752751637,114.21108267775526,114.76219579744429,115.24591876438717,115.75462070500362,118.57865456594845,121.4635435759028,121.95922526795766,125.12674489636993,125.9778544947003,127.00725027365297,128.0746784474486,128.34860125635896,128.67035896571724,126.94420573252864,126.73550027055353,125.72242541463856,125.72242541463856,125.72133071858116,125.6093731672554,125.5354480107726,125.3289153546084,62.55683744444832,62.43292116801058,62.393794077110215,62.200314842115404,62.232923515583025,61.99595499176212,62.43726677963241,62.35574509596336,62.98620709351053,63.78297996026413,63.80037899305535,63.67971363218203,63.77428873702047,63.664503991505626,63.60580506200313,63.760157206097574,63.7199354191398,63.7938567276001,63.83516272807121,65.19608674359321,65.95263875222206,66.45157175791263
TELETECH HOLDINGS INC,56.63499450683594,56.33699035644531,56.614990234375,56.873992919921875,57.875,59.38600158691406,60.175994873046875,61.48899841308594,62.217987060546875,62.32899475097656,62.07798767089844,63.81999206542969,63.81599426269531,65.58200073242188,69.97698974609375,69.97499084472656,69.8280029296875,69.79798889160156,70.38899230957031,70.70500183105469,70.10299682617188,69.33299255371094,68.82398986816406,68.85299682617188,69.16200256347656,71.04798889160156,72.21099853515625,73.92900085449219,74.93199157714844,74.67298889160156,74.58399963378906,74.50199890136719,75.00799560546875,74.16099548339844,74.19400024414062,74.11399841308594,74.12399291992188,74.92500305175781,77.47898864746094,76.92500305175781,76.75199890136719,76.36799621582031,76.30499267578125,74.92098999023438,74.684,66.18,62.746,62.443,61.824
TELLABS INC,366.101806640625,364.98779296875,364.9228515625,364.810791015625,363.281005859375,362.501953125,369.552001953125,384.93701171875,384.8818359375,384.27587890625,387.35986328125,396.1748046875,395.726806640625,395.6689453125,398.010009765625,397.27490234375,397.406005859375,418.722900390625,439.142822265625,438.29296875,437.351806640625,439.114990234375,441.65087890625,447.68798828125,448.0869140625,449.3837890625,448.450927734375,447.4619140625,447.90380859375,463.660888671875,417.184814453125,416.212890625,415.7919921875,414.60986328125,413.97998046875,412.89599609375,412.349853515625,412.18994140625,415.2509765625,411.406982421875,410.872802734375,410.246826171875,409.98486328125,409.77294921875,409.22998046875,408.183,410.515,410.114,409.494
TENET HEALTHCARE CORP,415.02587890625,415.02587890625,454.997802734375,478.73193359375,489.3369140625,485.782958984375,485.326904296875,485.032958984375,484.06689453125,481.135009765625,481.099853515625,480.81591796875,479.929931640625,477.1728515625,476.98779296875,476.48388671875,476.15283203125,474.37890625,474.0927734375,473.44189453125,473.014892578125,471.5849609375,471.31689453125,470.65380859375,470.4580078125,469.708984375,469.406982421875,468.953857421875,468.56396484375,467.23583984375,466.6669921875,466.135009765625,465.468994140625,464.786865234375,463.87890625,462.864013671875,468.577880859375,@NA,468.553955078125,473.7177734375,487.2138671875,488.540771484375,488.2001953125,489.283447265625,490.2088623046875,488.2005,486.09000000000003,474.7425,473.89050000000003
TENNANT CO,18.828994750976562,18.834991455078125,18.80499267578125,18.922988891601562,19.143997192382812,19.038986206054688,18.945999145507812,18.970993041992188,18.833999633789062,18.750991821289062,18.702987670898438,18.662994384765625,18.62298583984375,18.284988403320312,18.245986938476562,18.433990478515625,18.527999877929688,18.498992919921875,18.626998901367188,18.740997314453125,18.842987060546875,18.753997802734375,18.738998413085938,18.634000778198242,18.597999572753906,18.381999969482422,18.29800033569336,17.899999618530273,18.011999130249023,18.006000518798828,17.99799919128418,18.058000564575195,18.013999938964844,17.989999771118164,17.908000946044922,17.908000946044922,17.908000946044922,17.961999893188477,17.97599983215332,17.941999435424805,17.98200035095215,18.07200050354004,18.054000854492188,18.166000366210938,18.163999557495117,18.124,18.072,18.068,18.086
TERADATA CORP,167.3000030517578,167.39999389648438,168.39999389648438,168.6999969482422,168.10000610351562,167.3000030517578,167.3000030517578,166.8000030517578,168.6999969482422,171.3000030517578,171.6999969482422,172.60000610351562,173.60000610351562,176.0,178.39999389648438,179.60000610351562,181.0,180.6999969482422,180.6999969482422,@NA,@NA,@NA,@NA,@NA,@NA,@NA,@NA,@NA,@NA,@NA,@NA,@NA,@NA,@NA,@NA,@NA,@NA,@NA,@NA,@NA,@NA,@NA,@NA,@NA,@NA,@NA,@NA,@NA,@NA
TERADYNE INC,183.58700561523438,183.58700561523438,184.1219940185547,186.0019989013672,185.25,182.03500366210938,181.32699584960938,181.16200256347656,177.28199768066406,174.9080047607422,174.64700317382812,174.32400512695312,172.5449981689453,169.6510009765625,169.06500244140625,167.82200622558594,172.0449981689453,173.08799743652344,177.81700134277344,188.58599853515625,189.67100524902344,188.95199584960938,190.42999267578125,198.29299926757812,198.1580047607422,197.01100158691406,196.8679962158203,196.61199951171875,195.6490020751953,194.2530059814453,194.15899658203125,194.09500122070312,193.94900512695312,191.97300720214844,191.3209991455078,187.07699584960938,184.9219970703125,183.1959991455078,183.08200073242188,183.04800415039062,182.7779998779297,181.11900329589844,175.9290008544922,175.01400756835938,174.18299865722656,172.559,175.22,173.406,172.697
TEREX CORP,109.69999694824219,108.80000305175781,108.80000305175781,108.80000305175781,108.69999694824219,108.09999084472656,108.0,107.80000305175781,107.80000305175781,107.30000305175781,107.19999694824219,107.09999084472656,94.39999389648438,94.0,93.89999389648438,98.59999084472656,100.30000305175781,100.30000305175781,101.59999084472656,101.89999389648438,101.69999694824219,101.09999084472656,100.39999389648438,100.0,99.19998168945312,98.5999755859375,98.5999755859375,98.19998168945312,98.0,97.5999755859375,97.39999389648438,97.0,96.5999755859375,97.5999755859375,97.19998168945312,96.39999389648438,96.0,94.79998779296875,94.5999755859375,88.19998168945312,77.0,72.79998779296875,53.79998779296875,53.79998779296875,53.5999755859375,53.6,53.6,54.6,55.0
TESORO CORP,139.96400451660156,139.197998046875,143.83900451660156,143.5850067138672,143.17999267578125,142.97500610351562,142.66200256347656,141.00900268554688,140.427001953125,139.83799743652344,139.4510040283203,139.36300659179688,138.375,138.4600067138672,137.8179931640625,137.6649932861328,137.0449981689453,136.9040069580078,136.83299255371094,136.593994140625,135.81399536132812,136.177978515625,137.5579833984375,137.02798461914062,138.60400390625,138.92398071289062,138.343994140625,136.47998046875,133.64599609375,132.78598022460938,131.80599975585938,130.8699951171875,129.37197875976562,129.23397827148438,129.22998046875,129.21600341796875,129.21600341796875,129.21798706054688,129.21798706054688,129.08999633789062,82.8280029296875,82.6719970703125,62.48797607421875,61.853973388671875,61.638,61.63,61.63,63.436,64.824
TESSERA TECHNOLOGIES INC,51.57598876953125,51.57598876953125,51.53199768066406,51.20799255371094,51.082000732421875,50.592987060546875,50.45899963378906,50.239990234375,50.15998840332031,49.845001220703125,49.73899841308594,49.33000183105469,48.63099670410156,48.48699951171875,48.468994140625,48.373992919921875,48.33799743652344,48.55499267578125,48.31199645996094,48.07099914550781,47.63999938964844,47.2139892578125,46.77099609375,46.32398986816406,45.938995361328125,45.125,44.739990234375,44.26300048828125,43.490997314453125,42.144989013671875,41.00099182128906,39.96199035644531,38.48899841308594,38.4739990234375,@NA,34.7449951171875,@NA,6.961999893188477,@NA,@NA,@NA,6.578000068664551,@NA,@NA,@NA,@NA,@NA,@NA,@NA
TETRA TECH INC,62.74800109863281,62.4949951171875,62.4639892578125,62.33000183105469,61.972991943359375,61.75498962402344,61.74299621582031,61.70799255371094,61.43598937988281,61.256988525390625,60.468994140625,60.218994140625,59.959991455078125,59.875,59.43499755859375,58.805999755859375,58.50599670410156,58.386993408203125,58.17698669433594,57.88299560546875,57.89898681640625,57.675994873046875,57.63499450683594,57.352996826171875,57.15599060058594,57.04798889160156,57.01100158691406,56.696990966796875,56.42799377441406,56.30499267578125,56.18499755859375,54.86799621582031,54.451995849609375,54.089996337890625,53.80499267578125,53.4119873046875,53.31999206542969,53.27299499511719,53.25599670410156,52.83099365234375,52.477996826171875,52.47749328613281,51.99249267578125,50.7237434387207,50.35249710083008,49.78875000000001,49.503750000000004,48.32875,48.0825
TETRA TECHNOLOGIES INC/DE,77.42298889160156,77.25498962402344,77.14700317382812,76.76399230957031,76.2919921875,76.12799072265625,76.12300109863281,75.62799072265625,75.54299926757812,75.34199523925781,75.33699035644531,75.25599670410156,75.25900268554688,75.02099609375,74.76399230957031,74.50399780273438,74.37100219726562,74.28099060058594,74.12699890136719,72.48799133300781,71.93099975585938,71.86099243164062,71.64900207519531,71.239990234375,69.53799438476562,69.38198852539062,67.68598937988281,67.80596923828125,67.54197692871094,67.12797546386719,66.83697509765625,66.93296813964844,66.32698059082031,65.71197509765625,63.23850202560425,64.91699838638306,64.6514983177185,63.787500858306885,62.631000995635986,62.04149866104126,62.608500480651855,63.36450147628784,62.81549835205078,62.28000068664551,61.74,60.867,60.642,60.993,60.8805
TEXAS CAPITAL BANCSHARES INC,37.9119873046875,37.6669921875,37.45799255371094,37.33000183105469,37.21699523925781,36.957000732421875,36.7919921875,36.77699279785156,36.52398681640625,35.91999816894531,35.800994873046875,35.68798828125,31.013992309570312,30.885986328125,30.759994506835938,26.695999145507812,26.5469970703125,26.30499267578125,26.157989501953125,26.104995727539062,26.016998291015625,25.980987548828125,25.947998046875,25.85699462890625,25.77099609375,25.68798828125,25.587997436523438,25.532989501953125,25.4739990234375,25.37799072265625,25.207992553710938,25.17498779296875,25.061996459960938,24.925994873046875,24.729995727539062,19.1719970703125,19.115997314453125,19.099990844726562,19.073989868164062,19.06399917602539,19.058000564575195,19.054000854492188,19.035999298095703,18.972000122070312,18.90999984741211,18.896,18.874,18.874,@NA
TEXAS INDUSTRIES INC,27.977996826171875,27.893997192382812,27.889999389648438,27.886993408203125,27.875,27.819992065429688,27.806991577148438,27.795989990234375,27.769989013671875,27.745986938476562,27.73699951171875,27.717987060546875,27.703994750976562,27.662994384765625,27.537994384765625,27.492996215820312,27.451995849609375,27.354995727539062,27.349990844726562,27.322998046875,25.522994995117188,24.030990600585938,23.977996826171875,23.944992065429688,23.128997802734375,23.045989990234375,22.873992919921875,22.727996826171875,22.664993286132812,22.131988525390625,21.368988037109375,21.20098876953125,21.1619873046875,21.082992553710938,21.08099365234375,21.060989379882812,21.060989379882812,21.044998168945312,21.0419921875,21.025985717773438,20.940994262695312,20.92498779296875,20.917999267578125,20.828,20.766,20.774,21.071,21.07,21.064
TEXAS INSTRUMENTS INC,1144.35302734375,1139.498046875,1142.64892578125,1155.321044921875,1161.1689453125,1167.44384765625,1174.157958984375,1195.196044921875,1222.225830078125,1240.117919921875,1252.8740234375,1261.423828125,1273.452880859375,1277.89599609375,1296.425048828125,1310.876953125,1322.73583984375,1343.2109375,1398.20703125,1429.0849609375,1433.708984375,1450.031005859375,1483.884033203125,1532.5849609375,1558.036865234375,1596.58984375,1618.052001953125,1623.052978515625,1662.1650390625,1718.115966796875,1727.925048828125,1731.077880859375,1731.10302734375,1732.337890625,1730.625,1731.2509765625,1729.282958984375,1730.587890625,1731.005859375,1733.6689453125,1734.39697265625,1733.933837890625,1732.198974609375,1734.61083984375,1735.98388671875,1732.052,1729.947,1640.487,1636.392
TEXAS ROADHOUSE INC,69.18699645996094,70.01199340820312,71.36099243164062,71.16600036621094,72.22299194335938,71.72698974609375,71.57099914550781,71.27999877929688,70.38499450683594,70.29598999023438,70.13999938964844,69.552001953125,69.33599853515625,70.13800048828125,73.37300109863281,74.38800048828125,74.84799194335938,74.78599548339844,74.73100280761719,74.55999755859375,74.26799011230469,74.09100341796875,74.00399780273438,73.74699401855469,70.53298950195312,69.67999267578125,68.62399291992188,67.50997924804688,67.12197875976562,5.265998840332031,4.72599983215332,@NA,32.959991455078125,@NA,@NA,@NA,31.61400032043457,@NA,@NA,@NA,@NA,@NA,@NA,@NA,@NA,@NA,@NA,@NA,@NA
TEXTRON INC,280.164794921875,278.872802734375,278.036865234375,277.223876953125,276.519775390625,275.739013671875,274.798828125,274.0908203125,273.22998046875,272.27197265625,271.015869140625,270.05078125,244.7100067138672,242.04100036621094,241.0970001220703,248.53799438476562,249.23899841308594,250.10000610351562,249.25,249.70999145507812,249.01199340820312,251.19198608398438,250.88998413085938,252.51998901367188,260.1919860839844,260.3699951171875,264.7439880371094,267.53399658203125,269.71600341796875,270.7460021972656,274.9360046386719,276.68798828125,274.37799072265625,274.47601318359375,272.03399658203125,271.0320129394531,270.19000244140625,273.0,274.69000244140625,276.24200439453125,279.7959899902344,282.50201416015625,282.5060119628906,282.35400390625,281.8320007324219,281.866,285.194,286.798,289.584
THERMO FISHER SCIENTIFIC INC,371.3828125,371.3828125,378.27978515625,381.872802734375,383.2587890625,391.369873046875,397.476806640625,407.430908203125,410.406005859375,409.310791015625,408.31494140625,408.15185546875,418.31298828125,417.9658203125,420.2138671875,419.013916015625,418.208984375,415.23779296875,420.06396484375,426.579833984375,421.929931640625,416.60498046875,157.75999450683594,157.5570068359375,163.52200317382812,162.48199462890625,162.1739959716797,161.34800720214844,161.11199951171875,160.5500030517578,159.76400756835938,164.70899963378906,165.45700073242188,165.06300354003906,162.86000061035156,162.21400451660156,162.0540008544922,162.85400390625,164.13400268554688,168.56199645996094,173.30299377441406,176.35800170898438,177.66700744628906,181.62899780273438,182.6020050048828,182.169,179.631,173.016,156.904
THOMAS & BETTS CORP,51.7449951171875,51.399993896484375,51.62998962402344,51.470001220703125,51.86299133300781,50.97999572753906,51.44999694824219,51.959991455078125,52.5989990234375,51.67999267578125,52.16999816894531,52.149993896484375,53.28900146484375,55.55999755859375,57.83000183105469,57.78999328613281,57.98799133300781,57.59999084472656,57.470001220703125,57.62998962402344,59.472991943359375,59.61000061035156,59.54998779296875,61.989990234375,61.0889892578125,60.75,60.339996337890625,59.97999572753906,59.352996826171875,59.0,58.94999694824219,58.649993896484375,58.47499084472656,58.470001220703125,58.470001220703125,58.44999694824219,58.295989990234375,58.29998779296875,58.29998779296875,58.279998779296875,58.157989501953125,58.149993896484375,58.149993896484375,58.149993896484375,58.0,57.99,57.97,57.96,57.818
THOR INDUSTRIES INC,52.86000061035156,54.839996337890625,55.839996337890625,55.839996337890625,55.8179931640625,55.81199645996094,51.46199035644531,51.46199035644531,51.46099853515625,55.44099426269531,55.44099426269531,55.44099426269531,55.44099426269531,55.44099426269531,55.43998718261719,55.43998718261719,55.49699401855469,55.87098693847656,55.779998779296875,55.76899719238281,55.76899719238281,55.70799255371094,55.69898986816406,56.683990478515625,56.740997314453125,56.680999755859375,56.67698669433594,56.610992431640625,56.865997314453125,56.82798767089844,57.14599609375,57.09098815917969,57.3699951171875,57.241973876953125,57.19598388671875,57.167999267578125,57.167999267578125,57.037994384765625,56.965972900390625,56.944000244140625,56.779998779296875,47.66400146484375,47.63600158691406,47.41600036621094,47.395999908447266,47.944000244140625,47.94,48.42,48.42
THORATEC CORP,58.36799621582031,59.92298889160156,59.73899841308594,57.20599365234375,58.57099914550781,58.468994140625,58.45298767089844,57.308990478515625,57.042999267578125,56.805999755859375,56.550994873046875,56.36698913574219,56.394989013671875,56.04399108886719,54.63299560546875,54.46299743652344,54.108001708984375,53.98799133300781,53.58099365234375,53.15899658203125,52.32899475097656,52.00799560546875,51.92698669433594,52.62599182128906,51.73699951171875,50.063995361328125,49.18499755859375,48.207000732421875,48.375,49.662994384765625,51.38099670410156,55.81199645996094,56.24198913574219,56.003997802734375,55.56999206542969,55.167999267578125,55.0369873046875,55.00999450683594,56.582000732421875,57.06700134277344,56.11399841308594,55.34199523925781,54.61000061035156,54.7449951171875,22.421,22.419,22.369,20.63,20.466
TIBCO SOFTWARE INC,166.28700256347656,166.28700256347656,164.8070068359375,166.61500549316406,165.79800415039062,164.52200317382812,164.54100036621094,165.05299377441406,165.4029998779297,167.73800659179688,170.53500366210938,174.54400634765625,175.39199829101562,174.29600524902344,180.96600341796875,183.10400390625,186.375,191.14999389648438,190.52699279785156,199.51199340820312,208.35899353027344,211.20799255371094,210.9029998779297,208.48599243164062,210.3719940185547,210.54800415039062,211.8280029296875,212.3769989013672,215.65499877929688,213.91200256347656,212.13699340820312,209.8820037841797,198.4239959716797,213.36599731445312,212.718994140625,211.64100646972656,211.3459930419922,210.25399780273438,209.0,208.0,203.0,199.11700439453125,198.75900268554688,198.3780059814453,196.6649932861328,194.882,194.431,189.833,188.763
