Company Name,Com Shares Outstanding Qtly[0Q],Com Shares Outstanding Qtly[-1Q],Com Shares Outstanding Qtly[-2Q],Com Shares Outstanding Qtly[-3Q],Com Shares Outstanding Qtly[-4Q],Com Shares Outstanding Qtly[-5Q],Com Shares Outstanding Qtly[-6Q],Com Shares Outstanding Qtly[-7Q],Com Shares Outstanding Qtly[-8Q],Com Shares Outstanding Qtly[-9Q],Com Shares Outstanding Qtly[-10Q],Com Shares Outstanding Qtly[-11Q],Com Shares Outstanding Qtly[-12Q],Com Shares Outstanding Qtly[-13Q],Com Shares Outstanding Qtly[-14Q],Com Shares Outstanding Qtly[-15Q],Com Shares Outstanding Qtly[-16Q],Com Shares Outstanding Qtly[-17Q],Com Shares Outstanding Qtly[-18Q],Com Shares Outstanding Qtly[-19Q],Com Shares Outstanding Qtly[-20Q],Com Shares Outstanding Qtly[-21Q],Com Shares Outstanding Qtly[-22Q],Com Shares Outstanding Qtly[-23Q],Com Shares Outstanding Qtly[-24Q],Com Shares Outstanding Qtly[-25Q],Com Shares Outstanding Qtly[-26Q],Com Shares Outstanding Qtly[-27Q],Com Shares Outstanding Qtly[-28Q],Com Shares Outstanding Qtly[-29Q],Com Shares Outstanding Qtly[-30Q],Com Shares Outstanding Qtly[-31Q],Com Shares Outstanding Qtly[-32Q],Com Shares Outstanding Qtly[-33Q],Com Shares Outstanding Qtly[-34Q],Com Shares Outstanding Qtly[-35Q],Com Shares Outstanding Qtly[-36Q],Com Shares Outstanding Qtly[-37Q],Com Shares Outstanding Qtly[-38Q],Com Shares Outstanding Qtly[-39Q],Com Shares Outstanding Qtly[-40Q],Com Shares Outstanding Qtly[-41Q],Com Shares Outstanding Qtly[-42Q],Com Shares Outstanding Qtly[-43Q],Com Shares Outstanding Qtly[-44Q],Com Shares Outstanding Qtly[-45Q],Com Shares Outstanding Qtly[-46Q],Com Shares Outstanding Qtly[-47Q],Com Shares Outstanding Qtly[-48Q]
3D SYSTEMS CORP,50.6510009765625,50.51799011230469,50.425994873046875,49.735992431640625,46.67999267578125,46.332000732421875,46.079986572265625,45.927978515625,45.399993896484375,45.2760009765625,45.251983642578125,44.837982177734375,44.72998046875,44.73199462890625,44.72998046875,44.66998291015625,44.347991943359375,44.22198486328125,41.189971923828125,38.2139892578125,38.113983154296875,38.11199951171875,36.605987548828125,31.242000579833984,30.579999923706055,30.54800033569336,30.229999542236328,29.29599952697754,28.964000701904297,26.799999237060547,26.36400032043457,26.224000930786133,25.79400062561035,25.757999420166016,25.468000411987305,25.468000411987305,25.450000762939453,25.41200065612793,25.288000106811523,26.290000915527344,26.263999938964844,25.013999938964844,24.974000930786133,24.610000610351562,24.396,24.132,23.768,23.348,22.866
3M CO,693.871826171875,694.969970703125,700.844970703125,709.535888671875,710.576904296875,711.97802734375,714.85888671875,713.1337890625,713.06787109375,710.598876953125,707.9580078125,698.32080078125,694.3837890625,693.54296875,692.954833984375,698.989990234375,704.286865234375,709.156005859375,713.22900390625,715.81201171875,720.204833984375,734.36279296875,736.365966796875,753.23486328125,753.931884765625,754.537841796875,759.931884765625,765.072021484375,769.56982421875,773.517822265625,778.533935546875,782.702880859375,782.114013671875,784.116943359375,784.8828125,783.005859375,781.66796875,780.3916015625,780.3935546875,782.60791015625,778.69580078125,782.60791015625,784.169921875,788.251953125,791.82958984375,792.17,788.866,790.584,791.618
AAON INC,24.617996215820312,24.652999877929688,24.669998168945312,24.725990295410156,24.758995056152344,24.80847930908203,24.863983154296875,25.696495056152344,25.822494506835938,25.76850128173828,25.733985900878906,25.75499725341797,25.813499450683594,25.726478576660156,25.921485900878906,26.965484619140625,27.08100128173828,28.154983520507812,28.068750858306885,28.028249502182007,27.762749433517456,27.672749519348145,27.756000995635986,27.68399977684021,27.526500463485718,27.69974970817566,27.708749055862427,27.846000909805298,27.787500858306885,27.91350030899048,27.992249965667725,28.05524969100952,28.17000102996826,28.21725082397461,28.480499982833862,28.77975082397461,29.31975030899048,29.753999948501587,29.73599910736084,29.68987476825714,29.247751235961914,29.220746755599976,29.261248648166656,29.124558985233307,29.1751875,29.433375,29.615624999999998,29.8130625,31.4229375
AAR CORP,40.287994384765625,40.28399658203125,40.46099853515625,39.78099060058594,39.74198913574219,39.67799377441406,39.662994384765625,39.48399353027344,39.024993896484375,38.93199157714844,38.92698669433594,38.88398742675781,38.701995849609375,38.73699951171875,38.7449951171875,38.77299499511719,38.73799133300781,37.722991943359375,37.71199035644531,37.72898864746094,37.227996826171875,36.912994384765625,36.69099426269531,36.65399169921875,36.347991943359375,33.09199523925781,33.003997802734375,32.58599853515625,32.26100158691406,32.24800109863281,32.24299621582031,32.2449951171875,32.2449951171875,32.04499816894531,31.849990844726562,31.850997924804688,31.850997924804688,31.842987060546875,31.864990234375,31.8699951171875,31.858993530273438,26.875991821289062,26.957992553710938,26.937,26.945,26.932,26.857,26.865,26.963
AARON'S INC,75.63999938964844,75.63999938964844,75.36799621582031,78.98699951171875,79.98399353027344,80.08699035644531,81.06098937988281,81.48100280761719,81.47399139404297,81.35698699951172,81.35250091552734,81.3599853515625,80.92948150634766,80.47499084472656,80.26348114013672,79.91999816894531,79.86749267578125,80.41049194335938,81.3284912109375,81.31498718261719,81.26099395751953,81.20848846435547,81.03749084472656,80.94149780273438,75.72898864746094,75.04048919677734,74.89798736572266,74.72550201416016,74.65949249267578,74.6415023803711,74.5934829711914,74.46375274658203,74.40974807739258,73.74373626708984,73.68073654174805,73.29146003723145,73.28811264038086,73.28811264038086,73.28811264038086,73.20370674133301,67.25697898864746,67.39870262145996,67.40884780883789,67.32109451293945,67.0645809173584,67.06125,67.010625,66.686625,67.14224999999999
ABAXIS INC,21.68798828125,21.68798828125,21.652999877929688,22.750991821289062,22.586990356445312,22.514999389648438,22.341995239257812,22.2869873046875,22.11199951171875,22.0469970703125,22.018997192382812,21.985000610351562,21.932998657226562,21.894989013671875,21.791000366210938,21.767990112304688,21.70599365234375,21.623992919921875,21.465988159179688,21.42498779296875,21.207000732421875,20.775985717773438,20.71099853515625,20.537994384765625,20.134994506835938,20.066986083984375,19.95098876953125,19.902999877929688,19.891998291015625,19.791000366210938,19.673995971679688,19.633987426757812,19.519989013671875,19.39599609375,17.40399169921875,16.958999633789062,16.815994262695312,16.807998657226562,16.78399658203125,16.404998779296875,16.339996337890625,16.332992553710938,16.2449951171875,16.219985961914062,16.102,15.919,15.871,15.774,15.695
ABBOTT LABORATORIES,1570.37890625,1570.37890625,1557.7958984375,1556.576904296875,1554.282958984375,1546.98388671875,1545.81591796875,1544.029052734375,1543.56494140625,1551.16796875,1546.738037109375,1545.912841796875,1545.458984375,1552.432861328125,1551.58203125,1541.546875,1543.2958984375,1549.909912109375,1545.27294921875,1545.452880859375,1540.35986328125,1537.242919921875,1534.864013671875,1527.806884765625,1526.217041015625,1539.23486328125,1551.22802734375,1554.416015625,1550.677001953125,1560.02392578125,1557.391845703125,1561.156982421875,1559.676025390625,1564.517822265625,1563.35302734375,1562.56005859375,1560.968017578125,1563.06787109375,1562.541015625,1562.130859375,1560.614013671875,1554.530029296875,1552.237060546875,1550.906982421875,1548.2548828125,1545.934,1546.428,1549.931,1549.132
ABERCROMBIE & FITCH  -CL A,85.63800048828125,87.15798950195312,86.96600341796875,87.37699890136719,87.24600219726562,87.81098937988281,88.24600219726562,88.19699096679688,87.98599243164062,87.95899963378906,87.90798950195312,87.843994140625,87.63600158691406,87.04798889160156,86.99899291992188,86.44599914550781,86.15899658203125,86.04798889160156,88.2919921875,87.86599731445312,88.30000305175781,88.19200134277344,88.03799438476562,87.85800170898438,87.72599792480469,87.60600280761719,88.70799255371094,86.32398986816406,86.03700256347656,90.55599975585938,95.77299499511719,94.78799438476562,94.60699462890625,96.32699584960938,96.43800354003906,98.00399780273438,97.26899719238281,97.24899291992188,97.62699890136719,99.072998046875,98.87300109863281,98.8699951171875,99.47000122070312,99.26100158691406,98.796,98.78,99.07,100.763,102.004
ABM INDUSTRIES INC,53.70500183105469,53.33299255371094,53.23500061035156,53.118988037109375,52.989990234375,52.63499450683594,52.20399475097656,52.01899719238281,51.88499450683594,51.68798828125,51.489990234375,51.321990966796875,51.144989013671875,50.96299743652344,50.75599670410156,50.47599792480469,50.092987060546875,50.01899719238281,49.89898681640625,49.70599365234375,48.868988037109375,48.63499450683594,48.930999755859375,48.56298828125,49.2659912109375,49.050994873046875,48.69599914550781,49.756988525390625,49.623992919921875,48.707000732421875,48.47200012207031,48.81298828125,48.58299255371094,48.36698913574219,49.31199645996094,49.144989013671875,48.839996337890625,48.99699401855469,49.17399597167969,48.029998779296875,49.269989013671875,48.777984619140625,48.363983154296875,47.7239990234375,46.75799560546875,45.998,45.478,45.052,44.676
ACADIA REALTY TRUST,42.58599853515625,42.58599853515625,40.33299255371094,40.33099365234375,40.32099914550781,40.25498962402344,40.24699401855469,40.14299011230469,40.1199951171875,39.7869873046875,39.67900085449219,39.67900085449219,39.65899658203125,32.358001708984375,32.35499572753906,32.35099792480469,32.26399230957031,32.183990478515625,32.17498779296875,32.16899108886719,32.12998962402344,31.772994995117188,31.772994995117188,31.771987915039062,31.766998291015625,31.542999267578125,31.541000366210938,31.444992065429688,31.393997192382812,31.340988159179688,29.298995971679688,29.26300048828125,29.093994140625,27.40899658203125,27.321990966796875,27.136993408203125,25.430999755859375,25.256988525390625,25.047988891601562,24.79998779296875,24.699996948242188,28.697998046875,28.448989868164062,28.48199462890625,28.011993408203125,28.15,28.345,25.145,25.294
ACCENTURE PLC,644.0908203125,644.6708984375,641.433837890625,645.72998046875,648.891845703125,639.225830078125,625.037841796875,636.516845703125,636.580810546875,631.743896484375,622.955810546875,613.762939453125,612.723876953125,606.82080078125,612.8818359375,600.781005859375,591.114013671875,598.080810546875,595.9208984375,590.762939453125,593.22900390625,588.517822265625,580.574951171875,576.622802734375,575.262939453125,568.322021484375,570.43994140625,567.804931640625,574.447998046875,576.91796875,572.27880859375,557.864013671875,510.0068359375,509.683837890625,435.31787109375,429.346923828125,423.376953125,411.0009765625,407.406982421875,418.9208984375,338.81494140625,341.685791015625,343.306884765625,212.3350067138672,0.0,@NA,0.0,@NA,@NA
ACE LTD,338.65283203125,336.927001953125,336.389892578125,337.911865234375,337.173828125,334.94287109375,339.22900390625,338.755859375,338.61083984375,336.52490234375,336.27978515625,336.096923828125,335.890869140625,333.644775390625,333.394775390625,333.248779296875,332.5068359375,329.704833984375,329.4599609375,329.0087890625,328.308837890625,326.454833984375,325.956787109375,325.370849609375,325.142822265625,323.322998046875,288.671875,288.072998046875,287.352783203125,284.47900390625,284.11279296875,283.60400390625,282.71484375,279.89697265625,278.48095703125,277.7548828125,264.491943359375,262.678955078125,262.494873046875,262.247802734375,261.89697265625,259.86083984375,226.38999938964844,231.4429931640625,231.38400268554688,232.347,231.845,217.655,216.902
ACI WORLDWIDE INC,33.64299011230469,33.503997802734375,33.468994140625,33.4219970703125,33.27299499511719,33.207000732421875,33.347991943359375,33.98500061035156,34.0369873046875,33.980987548828125,33.993988037109375,35.00799560546875,34.912994384765625,34.87300109863281,34.40699768066406,34.34599304199219,35.70599365234375,36.69898986816406,37.1619873046875,37.1619873046875,37.261993408203125,37.68598937988281,37.39299011230469,37.154998779296875,37.38499450683594,37.20500183105469,38.093994140625,38.04998779296875,37.628997802734375,37.468994140625,37.12300109863281,36.68299865722656,36.18499755859375,35.63499450683594,35.45298767089844,35.45298767089844,35.4119873046875,35.37199401855469,35.326995849609375,35.27299499511719,35.21199035644531,36.680999755859375,36.618988037109375,34.9169921875,31.625,33.1,32.993,32.667,32.105
ACTUANT CORP  -CL A,68.28199768066406,68.15599060058594,68.65699768066406,68.62100219726562,68.57899475097656,68.39700317382812,68.05599975585938,67.93699645996094,67.88800048828125,67.85198974609375,67.71800231933594,56.7760009765625,56.696990966796875,56.381988525390625,56.00199890136719,55.89898681640625,55.83599853515625,55.76100158691406,55.347991943359375,54.83599853515625,54.8079833984375,54.785980224609375,54.589996337890625,54.55999755859375,54.355987548828125,54.23199462890625,54.093994140625,53.94598388671875,53.885986328125,48.103973388671875,47.52398681640625,47.509979248046875,47.2979736328125,47.14398193359375,47.02399826049805,46.88399887084961,46.75199890136719,46.47600173950195,46.380001068115234,46.35599899291992,46.33599853515625,32.19599914550781,32.051998138427734,31.843997955322266,31.77199935913086,31.71439256242502,31.692000472247603,31.28880046623945,31.268000465929507
ACUITY BRANDS INC,41.71598815917969,41.468994140625,41.48899841308594,42.6510009765625,42.60499572753906,42.45599365234375,42.115997314453125,42.95500183105469,42.81700134277344,42.628997802734375,42.43299865722656,42.33599853515625,40.31999206542969,40.40399169921875,40.201995849609375,40.64898681640625,40.70799255371094,41.394989013671875,43.31498718261719,43.62599182128906,43.420989990234375,43.07499694824219,43.06298828125,44.02699279785156,44.69999694824219,45.105987548828125,44.97698974609375,44.22499084472656,43.63600158691406,43.14799499511719,42.59599304199219,42.47599792480469,42.5469970703125,41.78599548339844,41.67498779296875,41.5159912109375,41.47599792480469,41.43798828125,41.34700012207031,41.34700012207031,41.31098937988281,41.31098937988281,@NA,@NA,@NA,@NA,@NA,@NA,@NA
ACXIOM CORP,78.093994140625,78.02299499511719,81.39399719238281,80.58399963378906,80.302001953125,80.13400268554688,79.99299621582031,79.46499633789062,79.09599304199219,79.04798889160156,78.88499450683594,78.53199768066406,78.17500305175781,77.94099426269531,77.57899475097656,77.28399658203125,77.06500244140625,80.85099792480469,80.4530029296875,78.58399963378906,78.13800048828125,77.46499633789062,87.97200012207031,88.14900207519531,86.72000122070312,85.10600280761719,87.88400268554688,95.21299743652344,85.75099182128906,86.28799438476562,86.02099609375,85.93699645996094,85.54798889160156,84.87699890136719,85.35099792480469,88.16400146484375,89.0469970703125,89.20799255371094,88.0260009765625,87.218994140625,87.15399169921875,86.91999816894531,90.23599243164062,90.377,89.221,88.993,88.229,87.838,86.596
ADOBE SYSTEMS INC,495.927978515625,491.539794921875,492.805908203125,493.762939453125,504.98681640625,501.89697265625,513.056884765625,525.06787109375,525.781982421875,522.656982421875,524.664794921875,524.530029296875,524.094970703125,526.11083984375,531.474853515625,530.19384765625,540.870849609375,571.408935546875,575.680908203125,587.85400390625,586.91796875,587.225830078125,541.06787109375,579.178955078125,598.159912109375,488.72900390625,493.410888671875,490.303955078125,486.7340087890625,484.3739929199219,473.79998779296875,477.49798583984375,477.2359924316406,476.6000061035156,466.8500061035156,466.0299987792969,462.489990234375,463.9100036621094,472.54400634765625,480.0379943847656,475.95001220703125,472.0379943847656,474.3840026855469,477.7279968261719,478.29400634765625,481.892,480.684,480.716,478.92
ADTRAN INC,63.70298767089844,63.70298767089844,63.654998779296875,64.72200012207031,64.65599060058594,63.00999450683594,63.00898742675781,62.29100036621094,61.94099426269531,62.25999450683594,62.79499816894531,62.55400085449219,62.06599426269531,62.15899658203125,62.5419921875,64.28399658203125,64.19499206542969,64.91299438476562,66.76399230957031,68.37300109863281,69.26399230957031,69.47200012207031,70.72299194335938,73.4429931640625,76.72499084472656,76.53599548339844,75.97898864746094,75.39700317382812,75.28399658203125,76.41400146484375,76.86599731445312,79.13699340820312,79.58099365234375,79.29399108886719,78.10198974609375,76.6719970703125,75.39398193359375,74.7659912109375,74.44400024414062,76.37799072265625,77.12399291992188,77.06997680664062,77.17398071289062,77.44998168945312,77.44400024414062,77.428,77.404,77.392,77.362
ADVANCE AUTO PARTS INC,72.79899597167969,72.4429931640625,74.07199096679688,77.85499572753906,81.95599365234375,84.0159912109375,84.197998046875,86.85198974609375,93.62300109863281,94.66299438476562,95.4169921875,95.23699951171875,94.85198974609375,94.67799377441406,95.36599731445312,94.88099670410156,99.05999755859375,100.927001953125,106.96199035644531,106.05799865722656,105.35099792480469,105.20799255371094,105.00498962402344,106.95999145507812,108.197998046875,109.01300048828125,109.46248626708984,107.4375,108.36749267578125,110.27998352050781,112.30048370361328,111.22199249267578,110.82600402832031,110.71797180175781,110.05796813964844,108.99298095703125,107.20500183105469,107.05796813964844,106.99497985839844,104.95500183105469,98.07600402832031,84.95997619628906,84.96299743652344,84.82196044921875,84.867,84.867,85.01400000000001,84.97200000000001,28.144
ADVANCED ENERGY INDS INC,41.95599365234375,43.64399719238281,43.618988037109375,43.519989013671875,43.33000183105469,43.29499816894531,43.18499755859375,42.12300109863281,42.04399108886719,41.993988037109375,41.97999572753906,41.91400146484375,41.8489990234375,41.76899719238281,41.76899719238281,42.61299133300781,45.287994384765625,45.256988525390625,45.239990234375,45.037994384765625,44.85499572753906,44.80198669433594,44.75898742675781,44.66099548339844,44.5,44.364990234375,32.81599426269531,32.774993896484375,32.75999450683594,32.683990478515625,32.67498779296875,32.597991943359375,32.572998046875,32.33699035644531,32.243988037109375,32.17799377441406,32.13999938964844,32.08799743652344,32.071990966796875,32.01300048828125,31.847991943359375,31.794998168945312,31.774993896484375,31.556991577148438,31.537,31.474,29.237,28.492,28.25
ADVANCED MICRO DEVICES,698.0,698.0,697.0,691.0,687.0,683.0,681.0,674.0,672.0,671.0,670.0,668.0,667.0,609.0,609.0,607.0,606.0,606.0,555.0,553.0,550.0,547.0,487.119873046875,485.56396484375,483.390869140625,435.52685546875,401.9638671875,396.3330078125,394.703857421875,391.739013671875,355.837890625,354.347900390625,352.16796875,350.2529296875,347.928955078125,346.915771484375,345.73583984375,344.52783203125,337.163818359375,335.975830078125,335.078857421875,340.5029296875,347.099853515625,346.39990234375,316.0,314.137,322.6,311.49,306.384
ADVENT SOFTWARE INC,50.99699401855469,50.69999694824219,52.399993896484375,52.399993896484375,51.9739990234375,51.399993896484375,51.0,51.5999755859375,51.733978271484375,51.199981689453125,50.79998779296875,50.399993896484375,51.45599365234375,53.0,53.5999755859375,53.199981689453125,52.993988037109375,51.79998779296875,51.199981689453125,54.0,54.46197509765625,55.199981689453125,57.5999755859375,60.199981689453125,62.293975830078125,61.86798095703125,61.13800048828125,61.451995849609375,65.46600341796875,65.20599365234375,66.41000366210938,66.29598999023438,65.8759765625,65.55599975585938,64.947998046875,63.95599365234375,65.70599365234375,65.39599609375,65.36398315429688,69.53399658203125,68.08599853515625,67.62997436523438,62.9639892578125,61.753997802734375,60.996,60.754,60.218,59.51,58.5
AECOM TECHNOLOGY CORP,113.85699462890625,113.24800109863281,117.62399291992188,117.43899536132812,116.67999267578125,115.31700134277344,113.77799987792969,113.22599792480469,112.5989990234375,110.88999938964844,109.60299682617188,108.31700134277344,104.12799072265625,102.98300170898438,102.30999755859375,101.1719970703125,99.75799560546875,99.06199645996094,98.20399475097656,98.20399475097656,@NA,@NA,@NA,@NA,@NA,@NA,@NA,@NA,@NA,@NA,@NA,@NA,@NA,@NA,@NA,@NA,@NA,@NA,@NA,@NA,21.17498779296875,@NA,@NA,@NA,@NA,@NA,@NA,@NA,@NA
AEGION  CORP,39.26100158691406,39.35198974609375,39.73799133300781,39.470001220703125,39.49299621582031,39.24598693847656,39.2239990234375,39.23399353027344,39.23799133300781,38.933990478515625,38.87998962402344,38.83000183105469,38.83099365234375,27.977996826171875,27.92999267578125,27.941986083984375,27.750991821289062,27.470993041992188,27.397994995117188,27.298995971679688,27.276992797851562,27.239990234375,27.229995727539062,27.219985961914062,27.173995971679688,26.936996459960938,26.925994873046875,26.87799072265625,26.745986938476562,26.742996215820312,26.750991821289062,26.742996215820312,26.709991455078125,26.457992553710938,26.457000732421875,26.446990966796875,26.439987182617188,26.557998657226562,26.517990112304688,26.510986328125,26.538986206054688,26.60198974609375,26.518997192382812,26.862991333007812,26.814987182617188,24.908,24.842,24.584,24.711
AEROPOSTALE INC,80.83000183105469,80.75,80.73399353027344,80.72599792480469,84.58000183105469,90.59599304199219,93.45500183105469,93.52400207519531,93.99449157714844,99.09750366210938,100.76099395751953,101.20500183105469,100.39498901367188,100.22550201416016,100.33948516845703,100.32449340820312,100.02598571777344,107.02349853515625,116.3767318725586,116.28448104858398,116.20122528076172,118.28697967529297,118.94622802734375,122.66997528076172,121.61247253417969,122.29874038696289,124.7039909362793,124.76022720336914,124.57349395751953,125.25522994995117,126.31050109863281,124.84125137329102,125.66138076782227,126.13722610473633,125.05725288391113,120.49758338928223,119.15774917602539,118.66496086120605,118.11485481262207,110.82149505615234,106.43733215332031,@NA,@NA,@NA,46.6695,@NA,@NA,@NA,@NA
AEROVIRONMENT INC,22.146987915039062,22.0989990234375,22.093994140625,21.949996948242188,21.893997192382812,21.822998046875,21.782989501953125,21.73199462890625,21.649993896484375,21.531997680664062,21.508987426757812,21.469985961914062,21.294998168945312,21.10198974609375,20.923995971679688,20.613998413085938,20.175994873046875,20.082000732421875,19.279998779296875,18.875991821289062,18.875991821289062,18.155990600585938,@NA,13.284000396728516,@NA,@NA,@NA,12.937999725341797,@NA,@NA,@NA,@NA,@NA,@NA,@NA,@NA,@NA,@NA,@NA,@NA,@NA,@NA,@NA,@NA,@NA,@NA,@NA,@NA,@NA
AES CORP,765.185791015625,770.260009765625,782.27294921875,784.643798828125,787.60693359375,794.114990234375,795.494873046875,795.1748046875,667.679931640625,667.48291015625,666.827880859375,666.39990234375,662.786865234375,662.166015625,672.546875,671.428955078125,670.33984375,668.824951171875,668.3359375,667.010986328125,665.1259765625,663.423828125,660.537841796875,657.783935546875,655.8828125,654.72900390625,654.04296875,652.510986328125,650.093017578125,648.0,645.0,633.0,626.0,622.68798828125,619.725830078125,569.65087890625,558.0,543.801025390625,542.720947265625,534.2958984375,533.0,533.053955078125,532.323974609375,532.074951171875,481.0,458.602,456.774,413.6,413.6
AETNA INC,347.39990234375,349.699951171875,362.2998046875,372.89990234375,379.5,384.39990234375,400.099853515625,417.39990234375,424.89990234375,430.7998046875,433.5,436.5,446.89990234375,456.2998046875,461.099853515625,471.599853515625,484.7998046875,496.2998046875,500.39990234375,511.39990234375,512.2998046875,516.0,522.0,547.699951171875,567.0,566.5,572.02197265625,579.90380859375,580.8916015625,586.0120239257812,590.6079711914062,614.2639770507812,609.5679931640625,610.0960083007812,610.2760009765625,615.5159912109375,607.447998046875,599.864013671875,602.1640014648438,601.3679809570312,583.6920166015625,577.0640258789062,573.3159790039062,571.1480102539062,569.8359985351562,570.476,565.404,564.596,563.732
AFFILIATED MANAGERS GRP INC,51.399993896484375,51.470001220703125,52.055999755859375,52.05299377441406,51.60499572753906,51.571990966796875,51.097991943359375,44.54899597167969,42.34999084472656,42.05400085449219,41.67900085449219,41.269989013671875,39.498992919921875,39.675994873046875,39.23799133300781,39.04998779296875,28.15899658203125,29.90399169921875,29.5469970703125,29.789993286132812,29.595993041992188,30.17498779296875,30.514999389648438,31.319000244140625,33.5989990234375,33.947998046875,34.279998779296875,33.50999450683594,33.28498840332031,29.649993896484375,28.992996215820312,28.992996215820312,32.00848388671875,31.990493774414062,31.84947967529297,31.538978576660156,32.59947967529297,32.632484436035156,32.81849670410156,33.19049835205078,33.31498718261719,33.29399871826172,33.241493225097656,33.124488830566406,33.063,33.3555,33.174,33.278999999999996,34.4055
AFFYMETRIX INC,70.45399475097656,70.39999389648438,70.39999389648438,70.5,70.5780029296875,70.69999694824219,70.80000305175781,70.80000305175781,71.0,71.0,70.59999084472656,70.69999694824219,70.26699829101562,70.2030029296875,70.24800109863281,69.39999389648438,69.21699523925781,68.89999389648438,68.59999084472656,68.5,67.9219970703125,67.80000305175781,67.59999084472656,67.5,67.22000122070312,64.0,63.59999084472656,63.0,61.58799743652344,60.79998779296875,60.59999084472656,60.29998779296875,59.45399475097656,59.09999084472656,58.899993896484375,58.79998779296875,58.503997802734375,58.29998779296875,58.19999694824219,58.09999084472656,58.006988525390625,57.899993896484375,57.79998779296875,57.59999084472656,57.143,55.556,55.234,54.646,52.37
AFLAC INC,467.462890625,466.309814453125,466.638916015625,467.06689453125,467.56396484375,469.660888671875,471.0439453125,470.768798828125,469.421875,468.56787109375,467.77685546875,467.48388671875,467.423828125,466.614990234375,476.552978515625,476.02685546875,475.0908203125,486.52978515625,487.751953125,488.48291015625,488.831787109375,492.5498046875,494.665771484375,497.123779296875,498.430908203125,498.893798828125,500.282958984375,501.171875,501.98681640625,503.60791015625,506.157958984375,508.048828125,508.344970703125,509.891845703125,512.41796875,513.593994140625,514.868896484375,514.43896484375,515.16796875,517.368896484375,517.641845703125,521.614990234375,523.368896484375,525.4208984375,525.241943359375,529.21,530.316,530.422,530.366
AGCO CORP,97.19499206542969,97.18699645996094,94.83000183105469,94.78700256347656,93.14399719238281,93.04399108886719,93.03099060058594,92.99600219726562,92.45399475097656,92.45199584960938,92.44999694824219,92.37199401855469,91.843994140625,91.7449951171875,91.73599243164062,91.71699523925781,91.61000061035156,91.58499145507812,91.552001953125,91.46299743652344,91.17799377441406,91.02499389648438,91.00299072265625,90.53399658203125,90.50799560546875,90.50799560546875,90.45599365234375,90.42298889160156,90.39399719238281,90.29100036621094,90.24099731445312,75.48799133300781,75.41000366210938,75.39299011230469,75.21800231933594,75.20599365234375,75.19699096679688,74.64799499511719,74.55000305175781,74.4169921875,72.31098937988281,71.98899841308594,71.94400024414062,59.59199523925781,59.589,59.579,59.592,59.588,59.58
AGILENT TECHNOLOGIES INC,347.625,346.3818359375,347.0,348.0,345.0,346.143798828125,346.0,348.0,348.0,346.14794921875,345.11181640625,343.35400390625,345.255859375,350.0,357.540771484375,360.10791015625,368.0,370.0,386.5478515625,395.9580078125,405.0,408.0,409.0,426.0,430.0,503.0,494.0,491.0,491.0,487.0,486.0,481.0,480.0,476.0,476.0,471.0,471.0,467.0,467.0,464.0,464.0,461.0,460.636962890625,457.072998046875,456.769775390625,453.976,453.015,452.272,452.0
AGILYSYS INC,21.972991943359375,22.574996948242188,23.001998901367188,23.022994995117188,23.051986694335938,23.010986328125,23.010986328125,22.931991577148438,23.095993041992188,23.030990600585938,22.709991455078125,22.625991821289062,22.6719970703125,22.6719970703125,22.6719970703125,22.590988159179688,23.526992797851562,26.3909912109375,31.429000854492188,31.313995361328125,30.654998779296875,30.615997314453125,30.583999633789062,30.526992797851562,30.487991333007812,30.46099853515625,30.380996704101562,28.820999145507812,28.725997924804688,28.65899658203125,28.55499267578125,32.115997314453125,32.115997314453125,32.115997314453125,32.115997314453125,32.05699157714844,31.905990600585938,31.905990600585938,31.905990600585938,31.781997680664062,31.75299072265625,31.732986450195312,31.667999267578125,31.668,27.557,27.51,31.552,27.294,27.233
AGL RESOURCES INC,117.0,78.69999694824219,78.39999389648438,78.19999694824219,78.0,78.0,78.0,77.80000305175781,77.5,77.39999389648438,77.30000305175781,77.19999694824219,76.89999389648438,76.80000305175781,76.69999694824219,76.5,76.39999389648438,76.89999389648438,77.80000305175781,77.89999389648438,77.69999694824219,77.06900024414062,77.48300170898438,78.01399230957031,77.80000305175781,77.59999084472656,77.30000305175781,77.11000061035156,76.69999694824219,65.36299133300781,64.94599914550781,64.80699157714844,64.5,64.30000305175781,63.69999694824219,63.29998779296875,56.69999694824219,56.29998779296875,56.09999084472656,55.899993896484375,55.09999084472656,54.79998779296875,54.399993896484375,54.19999694824219,54.0,54.2,54.3,57.0,57.1
AIR METHODS CORP,12.739999771118164,12.708000183105469,12.680999755859375,12.694000244140625,12.60200023651123,12.532999992370605,12.467000007629395,12.46399974822998,12.460000038146973,12.378000259399414,12.314000129699707,12.156000137329102,12.057000160217285,12.135000228881836,12.218000411987305,12.20300006866455,12.13700008392334,12.024999618530273,11.88700008392334,11.88700008392334,11.875,11.805999755859375,11.76200008392334,11.743000030517578,11.605999946594238,11.052000045776367,11.029999732971191,11.015999794006348,10.993000030517578,10.928000450134277,10.90999984741211,10.83899974822998,10.817999839782715,9.60200023651123,9.562999725341797,9.553999900817871,9.472999572753906,9.432000160217285,9.378000259399414,8.906000137329102,8.581999778747559,8.414999961853027,8.383000373840332,8.383000373840332,8.383,8.384,8.31,8.303,8.251
